domain,mass_mae,mass_nmae_pct,mu_mae,mu_nmae_pct,fric_r2,net_f_r2
m_seen_mu_seen,0.05593,1.9,0.02082,4.96,0.9989,0.9618
m_over,0.81122,27.5,0.06785,16.17,0.7927,-16.0364
m_under,0.08762,2.97,0.07905,18.83,-0.0675,-1.146
mu_over,0.043,1.46,0.0495,11.79,0.996,0.8478
mu_under,0.11954,4.05,0.06121,14.59,0.9935,0.9916
m_over_mu_over,0.84936,28.79,0.03944,9.4,-1.4814,-44.3481
m_under_mu_under,0.09036,3.06,0.06353,15.14,-0.4044,-17.7266
m_over_mu_under,0.83924,28.45,0.11871,28.29,0.9079,-6.256
m_under_mu_over,0.09015,3.06,0.20954,49.93,0.3322,0.0042
m_seen_mu_seen,0.05593,1.9,0.02082,4.96,0.9989,0.9618
m_over,0.81122,27.5,0.06785,16.17,0.7927,-16.0364
m_under,0.08762,2.97,0.07905,18.83,-0.0675,-1.146
mu_over,0.043,1.46,0.0495,11.79,0.996,0.8478
mu_under,0.11954,4.05,0.06121,14.59,0.9935,0.9916
m_over_mu_over,0.84936,28.79,0.03944,9.4,-1.4814,-44.3481
m_under_mu_under,0.09036,3.06,0.06353,15.14,-0.4044,-17.7266
m_over_mu_under,0.83924,28.45,0.11871,28.29,0.9079,-6.256
m_under_mu_over,0.09015,3.06,0.20954,49.93,0.3322,0.0042
