domain,mass_mae,mass_nmae_pct,mu_mae,mu_nmae_pct,fric_r2,net_f_r2
m_seen_mu_seen,0.03799,1.29,0.01614,3.84,0.9991,0.9795
m_over,0.77675,26.33,0.07045,16.79,0.742,0.9585
m_under,0.07642,2.59,0.06707,15.98,0.0843,0.4524
mu_over,0.04262,1.44,0.05132,12.23,0.9967,0.9556
mu_under,0.08225,2.79,0.04737,11.29,0.9985,0.9385
m_over_mu_over,0.81545,27.64,0.0346,8.24,-1.6048,-1.7679
m_under_mu_under,0.07715,2.62,0.0644,15.34,-0.5895,0.2332
m_over_mu_under,0.80011,27.12,0.11613,27.67,0.9004,-10.2266
m_under_mu_over,0.07948,2.69,0.18323,43.66,0.4932,0.4917
m_seen_mu_seen,0.03799,1.29,0.01614,3.84,0.9991,0.9795
m_over,0.77675,26.33,0.07045,16.79,0.742,0.9585
m_under,0.07642,2.59,0.06707,15.98,0.0843,0.4524
mu_over,0.04262,1.44,0.05132,12.23,0.9967,0.9556
mu_under,0.08225,2.79,0.04737,11.29,0.9985,0.9385
m_over_mu_over,0.81545,27.64,0.0346,8.24,-1.6048,-1.7679
m_under_mu_under,0.07715,2.62,0.0644,15.34,-0.5895,0.2332
m_over_mu_under,0.80011,27.12,0.11613,27.67,0.9004,-10.2266
m_under_mu_over,0.07948,2.69,0.18323,43.66,0.4932,0.4917
