domain,mass_mae,mass_nmae_pct,mu_mae,mu_nmae_pct,fric_r2,net_f_r2
m_seen_mu_seen,0.84423,28.62,0.40013,95.34,0.0,0.0
m_over,2.2509,76.3,0.40031,95.38,0.0,0.0
m_under,0.12611,4.28,0.39703,94.6,0.0,0.0
m_seen_mu_seen,0.84423,28.62,0.40013,95.34,0.0,0.0
m_over,2.2509,76.3,0.40031,95.38,0.0,0.0
m_under,0.12611,4.28,0.39703,94.6,0.0,0.0
mu_over,0.84437,28.62,0.54691,130.31,0.0,0.0
mu_under,0.84102,28.51,0.25119,59.85,0.0,0.0
m_over_mu_over,2.2672,76.86,0.54641,130.19,0.0,0.0
m_under_mu_under,0.12616,4.28,0.25054,59.7,0.0,0.0
m_over_mu_under,2.24626,76.15,0.25173,59.98,0.0,0.0
m_under_mu_over,0.12603,4.27,0.54574,130.03,0.0,0.0
