domain,mass_mae,mass_nmae_pct,mu_mae,mu_nmae_pct,fric_r2,net_f_r2
m_seen_mu_seen,0.02045,0.69,0.01305,3.11,0.9979,0.9603
m_over,0.88872,30.13,0.05435,12.95,0.6249,-0.1492
m_under,0.08681,2.94,0.05222,12.44,0.1861,-3.6642
mu_over,0.05608,1.9,0.06343,15.11,0.9923,0.9025
mu_under,0.07127,2.42,0.05412,12.9,0.997,0.8764
m_over_mu_over,1.10984,37.62,0.04841,11.54,-0.3551,-35.6454
m_under_mu_under,0.08963,3.04,0.09189,21.89,-0.1885,-7.8908
m_over_mu_under,0.74203,25.15,0.07946,18.93,0.3566,-16.1568
m_under_mu_over,0.08553,2.9,0.15907,37.9,0.0337,-3.618
m_seen_mu_seen,0.05854,1.98,0.01023,2.44,0.998,0.9229
m_over,0.85321,28.92,0.05197,12.38,0.9339,-3.5471
m_under,0.08575,2.91,0.07018,16.72,-0.3305,-0.1708
mu_over,0.06406,2.17,0.05899,14.06,0.991,0.6966
mu_under,0.09212,3.12,0.05164,12.3,0.9954,0.9016
m_over_mu_over,1.11,37.63,0.03807,9.07,-0.7718,-3.8084
m_under_mu_under,0.09089,3.08,0.07174,17.09,-2.8398,-12.0531
m_over_mu_under,0.76288,25.86,0.07147,17.03,0.7909,-1.9122
m_under_mu_over,0.08521,2.89,0.18681,44.51,0.4499,-0.0736
m_seen_mu_seen,0.05854,1.98,0.01023,2.44,0.998,0.9229
m_over,0.85321,28.92,0.05197,12.38,0.9339,-3.5471
m_under,0.08575,2.91,0.07018,16.72,-0.3305,-0.1708
mu_over,0.06406,2.17,0.05899,14.06,0.991,0.6966
mu_under,0.09212,3.12,0.05164,12.3,0.9954,0.9016
m_over_mu_over,1.11,37.63,0.03807,9.07,-0.7718,-3.8084
m_under_mu_under,0.09089,3.08,0.07174,17.09,-2.8398,-12.0531
m_over_mu_under,0.76288,25.86,0.07147,17.03,0.7909,-1.9122
m_under_mu_over,0.08521,2.89,0.18681,44.51,0.4499,-0.0736
