domain,mass_mae,mass_nmae_pct,mu_mae,mu_nmae_pct,fric_r2,net_f_r2
m_seen_mu_seen,0.03186,1.08,0.01513,3.6,0.9992,0.9835
m_over,0.89676,30.4,0.08483,20.21,-0.6521,-0.3347
m_under,0.06763,2.29,0.05425,12.93,-0.482,0.0438
mu_over,0.06933,2.35,0.05791,13.8,0.994,0.9316
mu_under,0.10741,3.64,0.0575,13.7,0.9932,0.9944
m_over_mu_over,1.14826,38.93,0.03387,8.07,-12.9288,-6.3821
m_under_mu_under,0.06758,2.29,0.0994,23.68,-4.243,-1.6005
m_over_mu_under,0.85529,28.99,0.1073,25.57,0.8215,0.1688
m_under_mu_over,0.07165,2.43,0.17306,41.23,0.1432,0.3823
m_seen_mu_seen,0.04368,1.48,0.01808,4.31,0.9991,0.9749
m_over,0.90318,30.62,0.08673,20.66,-0.5731,-0.8629
m_under,0.08071,2.74,0.0546,13.01,-0.3704,0.1377
mu_over,0.056,1.9,0.05643,13.45,0.9961,0.8906
mu_under,0.11761,3.99,0.06272,14.94,0.9917,0.9946
m_over_mu_over,1.15595,39.19,0.0351,8.36,-10.858,-7.7523
m_under_mu_under,0.08061,2.73,0.09638,22.96,-2.3404,-1.4216
m_over_mu_under,0.92883,31.49,0.13177,31.4,0.7666,-3.4389
m_under_mu_over,0.0835,2.83,0.17362,41.37,0.1125,0.2304
