domain,mass_mae,mass_nmae_pct,mu_mae,mu_nmae_pct,fric_r2,net_f_r2
m_seen_mu_seen,0.04621,1.57,0.01893,4.51,0.9993,0.9784
m_over,0.95231,32.28,0.0897,21.37,-0.4764,-0.4342
m_under,0.04199,1.42,0.05875,14.0,-2.1963,-21.964
mu_over,0.05826,1.98,0.05838,13.91,0.994,0.894
mu_under,0.1261,4.27,0.06442,15.35,0.995,0.9931
m_over_mu_over,1.68191,57.02,0.16042,38.22,-7.841,0.6063
m_under_mu_under,0.03881,1.32,0.16879,40.22,-21.6764,-201.9049
m_over_mu_under,1.29132,43.78,0.1688,40.22,0.9465,0.7516
m_under_mu_over,0.05134,1.74,0.1317,31.38,-0.0991,-6.1207
m_seen_mu_seen,0.04719,1.6,0.01987,4.73,0.9993,0.977
m_over,0.97373,33.01,0.08962,21.35,-0.8213,-0.2946
m_under,0.04469,1.51,0.05911,14.08,-1.6058,-25.3941
mu_over,0.05827,1.98,0.05941,14.16,0.9923,0.8762
mu_under,0.1272,4.31,0.06512,15.52,0.9953,0.9935
m_over_mu_over,1.71007,57.97,0.15537,37.02,-8.6634,0.6113
m_under_mu_under,0.04121,1.4,0.16667,39.71,-18.5216,-248.7867
m_over_mu_under,1.35682,46.0,0.19878,47.36,0.9472,0.6287
m_under_mu_over,0.05458,1.85,0.13366,31.85,-0.0685,-6.5148
