domain,mass_mae,mass_nmae_pct,mu_mae,mu_nmae_pct,fric_r2,net_f_r2
m_seen_mu_seen,0.05691,1.93,0.01233,2.94,0.9981,0.9488
m_over,1.02665,34.8,0.06027,14.36,0.8261,0.7347
m_under,0.07304,2.48,0.05923,14.11,-0.3957,0.4987
mu_over,0.0563,1.91,0.05573,13.28,0.9832,0.6905
mu_under,0.11794,4.0,0.05544,13.21,0.9956,0.9597
m_over_mu_over,1.57825,53.5,0.08797,20.96,0.0678,0.6189
m_under_mu_under,0.07103,2.41,0.085,20.25,-2.018,0.5076
m_over_mu_under,0.78824,26.72,0.08858,21.11,0.8382,-0.7902
m_under_mu_over,0.0765,2.59,0.17214,41.02,0.3937,0.2272
m_seen_mu_seen,0.05691,1.93,0.01233,2.94,0.9981,0.9488
