domain,v1_data,v5_pinn,v6_pinn
"blue_can_ycb_green_rub (mgt:0.35, w:3)",0.05250308513641355,,0.029735213518142678
"blue_can_ycb_green_rub (mgt:0.35, w:5)",0.01149020195007322,,0.04716060161590574
"blue_can_ycb_green_rub (mgt:0.35, w:7)",0.06849553585052492,,0.027297055721282937
"color_cubes_ycb_green_rub (mgt:0.99, w:3)",0.34538697242736816,,0.11720519304275512
"color_cubes_ycb_green_rub (mgt:0.99, w:5)",0.3638037347793579,,0.04395615100860595
"color_cubes_ycb_green_rub (mgt:0.99, w:7)",0.3507460856437683,,0.18040769338607787
"nolid_cube_green_rub (mgt:0.39, w:3)",0.05730937480926512,0.1318912947177887,0.053534641265869154
"nolid_cube_green_rub (mgt:0.39, w:5)",0.06601746320724489,0.1314185404777527,0.17250786781311034
"nolid_cube_green_rub (mgt:0.39, w:7)",0.06838940024375917,0.010505095720291124,0.18443296909332274
"nolid_cube_green_rub (mgt:0.5, w:3)",0.03756994009017944,0.04786485433578491,0.07306039333343506
"nolid_cube_green_rub (mgt:0.5, w:5)",0.11846268177032471,0.13818585872650146,0.3139897584915161
"nolid_cube_green_rub (mgt:0.5, w:7)",0.037552595138549805,0.047251760959625244,0.3657987713813782
"nolid_cube_green_rub (mgt:0.58, w:3)",0.03600762605667118,0.02936361551284794,0.2881557178497315
"nolid_cube_green_rub (mgt:0.58, w:5)",0.0370023083686829,0.03165890455245968,0.28588299274444584
"nolid_cube_green_rub (mgt:0.58, w:7)",0.0175817441940308,0.045042293071746786,0.2939264607429505
"nolid_cube_green_rub (mgt:0.68, w:3)",0.04362922191619878,0.035471506118774365,0.04088044881820674
"nolid_cube_green_rub (mgt:0.68, w:5)",0.05998485565185552,0.034858055114746045,0.22758061408996577
"nolid_cube_green_rub (mgt:0.68, w:7)",0.09081303358078008,0.07963006973266606,0.20311773538589473
"nolid_cube_green_rub (mgt:0.84, w:3)",0.20847120523452756,0.04671057701110837,0.022333357334136994
"nolid_cube_green_rub (mgt:0.84, w:5)",0.20979937553405759,0.05805942058563229,0.05329808235168454
"nolid_cube_green_rub (mgt:0.84, w:7)",0.20551773548126218,0.06841233015060422,0.03157857418060306
"nolid_cube_green_rub (mgt:0.95, w:3)",0.31096507310867305,0.15653402805328365,0.09414274692535396
"nolid_cube_green_rub (mgt:0.95, w:5)",0.3140477657318115,0.1841295480728149,0.09090418815612789
"nolid_cube_green_rub (mgt:0.95, w:7)",0.3270363330841064,0.21945358514785762,0.07645143270492549
