domain,v1_data,v5_pinn,v6_pinn
"blue_can_ycb_green_rub (mgt:0.35, w:3)",16.217246424247385,,8.872676625075112
"blue_can_ycb_green_rub (mgt:0.35, w:5)",3.337701796725925,,14.44784176097138
"blue_can_ycb_green_rub (mgt:0.35, w:7)",17.825877355219287,,8.115634383182693
"color_cubes_ycb_green_rub (mgt:0.99, w:3)",42.259172856374576,,12.583800706874658
"color_cubes_ycb_green_rub (mgt:0.99, w:5)",45.01974699585036,,4.540821844660744
"color_cubes_ycb_green_rub (mgt:0.99, w:7)",43.05603719017104,,20.0498404803174
"nolid_cube_green_rub (mgt:0.39, w:3)",13.688936618515685,40.700362035827986,14.738387900327005
"nolid_cube_green_rub (mgt:0.39, w:5)",18.492738913138858,40.52491434909568,36.2218252767142
"nolid_cube_green_rub (mgt:0.39, w:7)",19.22101786206829,2.6578185965314005,38.246923322563475
"nolid_cube_green_rub (mgt:0.5, w:3)",7.241909897064691,9.135692286602213,13.617200632384685
"nolid_cube_green_rub (mgt:0.5, w:5)",21.183126393241775,32.06859857794974,47.791812145017325
"nolid_cube_green_rub (mgt:0.5, w:7)",7.803563072406168,9.023954453192262,53.56554406787273
"nolid_cube_green_rub (mgt:0.58, w:3)",6.021303756296452,4.937701999600263,39.79623383010142
"nolid_cube_green_rub (mgt:0.58, w:5)",6.182495741233942,5.611584064462816,39.544415997563995
"nolid_cube_green_rub (mgt:0.58, w:7)",2.986076216061625,8.079641549066439,40.432094563126014
"nolid_cube_green_rub (mgt:0.68, w:3)",6.6287132231404335,5.0838022794791815,5.83639365553196
"nolid_cube_green_rub (mgt:0.68, w:5)",9.228331825616262,4.9980791933525435,28.67011754491846
"nolid_cube_green_rub (mgt:0.68, w:7)",14.310426435750836,12.438603539531695,25.98879544230237
"nolid_cube_green_rub (mgt:0.84, w:3)",28.333962063957173,5.719816262035031,2.62385240093176
"nolid_cube_green_rub (mgt:0.84, w:5)",28.540237576115608,7.159253714041207,6.552900906238104
"nolid_cube_green_rub (mgt:0.84, w:7)",27.876596474131475,8.490053806008259,3.689994097492242
"nolid_cube_green_rub (mgt:0.95, w:3)",39.13885942293574,17.956648488929343,10.426377474195911
"nolid_cube_green_rub (mgt:0.95, w:5)",39.603685274509374,21.46194054055879,10.04968200810506
"nolid_cube_green_rub (mgt:0.95, w:7)",41.58218526754987,26.11693235109672,8.38490776457117
