domain,pinn_annstartepo200_rampd700_pcri-L1_p5c10.0_p9-2c5.0 [FS10_Drop0.4_Epo1000],pinn_annstartepo300_pcri-L1_p10c10.0_p9-2c5.0 [FS10_Drop0.4_Epo1000],pinn_pcri-L1_p5c10.0 [FS10_Drop0.4_Epo1000],pinn_pcri-L1_p10c10.0 [FS10_Drop0.4_Epo1000],pinn_pcri-L1_p10c10.0 [MS10_Drop0.4_Epo1000],data_tcri-log1p_mse_task10.0 [Drop0.4_Epo1000],pinn_annstartepo300_rampd600_pcri-L1_p5c10.0_p2-2c5.0 [Drop0.4_Epo1000],pinn_annstartepo300_rampd600_pcri-L1_p5c10.0 [Drop0.4_Epo1000],pinn_pcri-L1_p5c10.0 [Drop0.4_Epo1000],pinn_annstartepo300_pcri-L1_p10c10.0_p9-2c5.0 [Drop0.4_Epo1000]
blue_cylinder_0.175_green_rub,6.29,6.18,5.56,5.75,8.89,5.63,5.92,5.44,5.44,4.97
blue_cylinder_0.175_wood_rough,5.17,6.11,7.35,4.66,7.48,4.41,5.83,5.4,5.4,4.97
blue_cylinder_0.175_wood_smooth,6.54,5.98,5.56,4.43,7.88,4.75,5.96,5.49,5.49,4.97
blue_cylinder_0.376_green_rub,1.81,3.85,5.26,11.71,1.56,2.29,2.39,2.23,2.23,6.79
blue_cylinder_0.376_wood_rough,0.45,4.0,3.41,4.1,0.04,1.42,0.41,1.5,1.5,6.54
blue_cylinder_0.376_wood_smooth,1.68,5.5,2.24,4.98,1.5,1.59,0.38,0.93,0.93,6.67
colored_cubes_0.167_green_rub,5.43,6.1,6.04,5.3,8.03,5.23,6.32,5.86,5.86,5.45
colored_cubes_0.397_green_rub,5.1,6.94,4.02,8.36,0.22,7.33,0.87,0.15,0.15,2.72
colored_cubes_0.989_green_rub,0.08,0.66,0.17,0.64,13.18,18.25,18.87,19.26,19.26,38.83
colored_cubes_0.989_wood_rough,0.12,2.91,1.33,1.87,18.4,17.45,19.37,20.04,20.04,35.76
colored_cubes_0.989_wood_smooth,0.13,1.72,0.03,1.44,11.65,17.0,33.22,33.91,33.91,40.47
