domain,pinn_annstartepo200_rampd700_pcri-L1_p5c10.0_p9-2c5.0 [FS10_Drop0.4_Epo1000],pinn_annstartepo300_pcri-L1_p10c10.0_p9-2c5.0 [FS10_Drop0.4_Epo1000],pinn_pcri-L1_p5c10.0 [FS10_Drop0.4_Epo1000],pinn_pcri-L1_p10c10.0 [FS10_Drop0.4_Epo1000],pinn_pcri-L1_p10c10.0 [MS10_FS0_Drop0.4_Epo1000],pinn_pcri-L1_p10c10.0 [MS10_Drop0.4_Epo1000],data_tcri-log1p_mse_task10.0 [Drop0.4_Epo1000],pinn_annstartepo300_rampd600_pcri-L1_p5c10.0_p2-2c5.0 [Drop0.4_Epo1000],pinn_pcri-L1_p5c10.0 [Drop0.4_Epo1000],pinn_annstartepo300_rampd600_pcri-L1_p5c10.0 [Drop0.4_Epo1000]
blue_cylinder_0.175_green_rub,5.56,5.47,4.91,5.08,19.4,7.87,4.98,5.24,4.81,4.81
blue_cylinder_0.175_wood_rough,4.58,5.4,6.5,4.13,19.47,6.62,3.9,5.15,4.78,4.78
blue_cylinder_0.175_wood_smooth,5.78,5.29,4.92,3.92,20.12,6.97,4.2,5.27,4.85,4.85
blue_cylinder_0.376_green_rub,1.6,3.4,4.66,10.36,8.88,1.38,2.03,2.11,1.97,1.97
blue_cylinder_0.376_wood_rough,0.4,3.54,3.01,3.63,9.54,0.03,1.26,0.36,1.33,1.33
blue_cylinder_0.376_wood_smooth,1.49,4.86,1.99,4.4,8.93,1.33,1.4,0.34,0.83,0.83
colored_cubes_0.167_green_rub,4.8,5.39,5.34,4.69,14.22,7.1,4.63,5.59,5.19,5.19
colored_cubes_0.397_green_rub,4.51,6.14,3.56,7.39,2.62,0.19,6.48,0.77,0.13,0.13
colored_cubes_0.989_green_rub,0.07,0.59,0.15,0.57,1.99,11.66,16.14,16.69,17.04,17.04
colored_cubes_0.989_wood_rough,0.1,2.57,1.18,1.65,2.17,16.28,15.44,17.14,17.73,17.73
colored_cubes_0.989_wood_smooth,0.12,1.52,0.03,1.27,2.1,10.31,15.04,29.39,30.01,30.01
nolid_cube_0.390_green_rub,4.29,2.45,2.2,9.97,8.84,0.29,6.59,1.02,2.43,2.43
nolid_cube_0.390_wood_rough,14.69,10.35,30.6,9.18,8.84,1.36,1.76,3.24,3.39,3.39
nolid_cube_0.390_wood_smooth,4.64,5.22,2.38,5.08,8.49,1.7,5.95,1.84,1.84,1.84
nolid_cube_0.498_green_rub,2.41,4.77,2.85,3.22,3.21,6.9,2.17,4.51,5.49,5.49
nolid_cube_0.498_wood_rough,3.11,4.75,0.1,4.85,2.68,0.4,0.07,2.63,2.97,2.97
nolid_cube_0.498_wood_smooth,2.8,5.7,0.19,4.34,2.98,2.44,2.31,1.6,1.12,1.12
nolid_cube_0.598_green_rub,4.7,0.27,8.18,0.73,1.56,0.06,0.12,3.56,5.6,5.6
nolid_cube_0.598_wood_rough,6.19,0.05,19.43,0.91,1.36,1.0,0.18,11.83,13.07,13.07
nolid_cube_0.598_wood_smooth,7.85,0.21,5.37,0.46,0.94,11.35,0.02,11.04,12.5,12.5
nolid_cube_0.694_green_rub,0.59,3.41,10.26,2.36,2.99,2.11,2.19,5.41,3.58,3.58
nolid_cube_0.694_wood_rough,11.73,2.24,14.22,1.79,3.95,3.03,3.35,12.32,13.01,13.01
nolid_cube_0.694_wood_smooth,10.61,0.4,10.65,1.02,4.78,14.0,2.56,16.39,17.04,17.04
nolid_cube_0.798_green_rub,2.97,0.43,8.58,3.51,6.45,6.8,8.37,16.22,16.14,16.14
nolid_cube_0.798_wood_rough,3.22,1.65,8.69,0.39,1.7,8.57,6.5,17.95,19.94,19.94
nolid_cube_0.798_wood_smooth,2.05,0.7,8.74,1.9,4.93,11.74,5.89,18.42,20.1,20.1
nolid_cube_0.915_green_rub,1.66,1.05,2.41,1.44,1.01,12.64,13.88,21.68,23.83,23.83
nolid_cube_0.915_wood_rough,0.21,0.71,2.49,1.87,1.4,13.61,13.77,23.69,25.32,25.32
nolid_cube_0.915_wood_smooth,0.35,0.3,2.48,1.63,0.37,12.67,12.98,22.74,22.82,22.82
nolid_cube_1.123_green_rub,9.32,14.85,7.26,19.28,8.89,23.18,25.6,30.76,31.48,31.48
nolid_cube_1.123_wood_rough,6.52,8.94,7.7,8.48,9.14,24.15,24.63,31.24,33.01,33.01
nolid_cube_1.123_wood_smooth,6.78,9.26,8.36,8.8,9.18,23.53,21.66,33.38,35.45,35.45
nolid_cube_1.240_green_rub,13.07,16.04,10.36,21.63,15.4,23.62,29.61,35.26,36.49,36.49
nolid_cube_1.240_wood_rough,12.55,15.64,13.71,15.42,15.17,23.9,30.33,37.46,39.23,39.23
nolid_cube_1.240_wood_smooth,13.01,21.64,14.38,20.98,15.47,30.13,29.94,37.83,39.81,39.81
nolid_cube_1.456_green_rub,28.35,41.54,22.32,39.95,26.5,33.71,41.75,45.74,46.9,46.9
nolid_cube_1.456_wood_rough,24.57,28.68,25.35,32.85,26.89,41.57,40.93,47.56,49.18,49.18
nolid_cube_1.456_wood_smooth,24.38,28.72,24.25,34.58,26.45,41.64,41.44,47.59,49.12,49.12
nolid_cube_1.656_green_rub,34.81,37.13,32.14,39.49,36.98,42.12,51.76,56.0,56.9,56.9
nolid_cube_1.656_wood_rough,34.83,48.54,36.08,50.44,37.27,45.46,51.73,57.4,59.78,59.78
nolid_cube_1.656_wood_smooth,38.36,50.1,34.94,46.5,37.1,46.39,52.95,57.23,58.3,58.3
nolid_cube_1.856_green_rub,47.66,46.97,42.38,48.3,47.9,52.57,62.09,66.66,66.79,66.79
nolid_cube_1.856_wood_rough,45.26,47.45,45.66,48.83,47.78,55.91,61.94,67.3,69.08,69.08
nolid_cube_1.856_wood_smooth,45.28,49.82,46.42,54.13,47.55,59.56,63.68,68.13,68.64,68.64
wooden_cube_0.348_green_rub,1.84,2.4,5.39,2.57,5.21,0.15,3.03,0.04,0.07,0.07
wooden_cube_0.348_wood_rough,1.77,1.1,2.23,1.66,10.4,0.12,1.53,0.14,0.24,0.24
wooden_cube_0.348_wood_smooth,3.21,3.13,2.13,2.97,11.07,0.02,0.07,0.97,1.34,1.34
wooden_cube_0.570_green_rub,3.47,0.7,20.72,0.17,0.27,5.58,0.52,5.17,6.49,6.49
wooden_cube_0.570_wood_rough,2.16,2.48,6.9,3.58,0.37,2.36,0.09,7.12,6.19,6.19
wooden_cube_0.570_wood_smooth,8.21,0.97,6.85,0.2,0.02,6.02,0.35,9.94,11.77,11.77
