domain,pinn_annstartepo200_rampd700_pcri-L1_p5c10.0_p9-2c5.0 [FS10_Drop0.4_Epo1000],pinn_annstartepo300_pcri-L1_p10c10.0_p9-2c5.0 [FS10_Drop0.4_Epo1000],pinn_pcri-L1_p10c10.0 [FS10_Drop0.4_Epo1000]
blue_cylinder_0.175_green_rub,5.56,5.47,5.08
blue_cylinder_0.175_wood_rough,4.58,5.4,4.13
blue_cylinder_0.175_wood_smooth,5.78,5.29,3.92
blue_cylinder_0.376_green_rub,1.6,3.4,10.36
blue_cylinder_0.376_wood_rough,0.4,3.54,3.63
blue_cylinder_0.376_wood_smooth,1.49,4.86,4.4
colored_cubes_0.167_green_rub,4.8,5.39,4.69
colored_cubes_0.397_green_rub,4.51,6.14,7.39
colored_cubes_0.989_green_rub,0.07,0.59,0.57
colored_cubes_0.989_wood_rough,0.1,2.57,1.65
colored_cubes_0.989_wood_smooth,0.12,1.52,1.27
nolid_cube_0.390_green_rub,4.29,2.45,9.97
nolid_cube_0.390_wood_rough,14.69,10.35,9.18
nolid_cube_0.390_wood_smooth,4.64,5.22,5.08
nolid_cube_0.498_green_rub,2.41,4.77,3.22
nolid_cube_0.498_wood_rough,3.11,4.75,4.85
nolid_cube_0.498_wood_smooth,2.8,5.7,4.34
nolid_cube_0.598_green_rub,4.7,0.27,0.73
nolid_cube_0.598_wood_rough,6.19,0.05,0.91
nolid_cube_0.598_wood_smooth,7.85,0.21,0.46
nolid_cube_0.694_green_rub,0.59,3.41,2.36
nolid_cube_0.694_wood_rough,11.73,2.24,1.79
nolid_cube_0.694_wood_smooth,10.61,0.4,1.02
nolid_cube_0.798_green_rub,2.97,0.43,3.51
nolid_cube_0.798_wood_rough,3.22,1.65,0.39
nolid_cube_0.798_wood_smooth,2.05,0.7,1.9
nolid_cube_0.915_green_rub,1.66,1.05,1.44
nolid_cube_0.915_wood_rough,0.21,0.71,1.87
nolid_cube_0.915_wood_smooth,0.35,0.3,1.63
nolid_cube_1.123_green_rub,9.32,14.85,19.28
nolid_cube_1.123_wood_rough,6.52,8.94,8.48
nolid_cube_1.123_wood_smooth,6.78,9.26,8.8
nolid_cube_1.240_green_rub,13.07,16.04,21.63
nolid_cube_1.240_wood_smooth,13.01,21.64,20.98
nolid_cube_1.456_green_rub,28.35,41.54,39.95
nolid_cube_1.656_green_rub,34.81,37.13,39.49
nolid_cube_1.856_green_rub,47.66,46.97,48.3
wooden_cube_0.348_green_rub,1.84,2.4,2.57
wooden_cube_0.348_wood_rough,1.77,1.1,1.66
wooden_cube_0.348_wood_smooth,3.21,3.13,2.97
wooden_cube_0.570_green_rub,3.47,0.7,0.17
wooden_cube_0.570_wood_rough,2.16,2.48,3.58
wooden_cube_0.570_wood_smooth,8.21,0.97,0.2
