domain,pinn_annstartepo200_rampd700_pcri-L1_p5c10.0_p9-2c5.0 [FS10_Drop0.4_Epo1000],pinn_annstartepo300_pcri-L1_p10c10.0_p9-2c5.0 [FS10_Drop0.4_Epo1000],pinn_pcri-L1_p10c10.0 [FS10_Drop0.4_Epo1000]
blue_cylinder_0.175_green_rub,46.4,45.77,43.26
blue_cylinder_0.175_wood_rough,39.81,45.35,36.59
blue_cylinder_0.175_wood_smooth,47.79,44.64,35.11
blue_cylinder_0.376_green_rub,7.77,18.81,41.5
blue_cylinder_0.376_wood_rough,2.02,19.66,20.17
blue_cylinder_0.376_wood_smooth,7.25,28.02,25.03
colored_cubes_0.167_green_rub,42.92,46.96,42.13
colored_cubes_0.397_green_rub,24.19,34.44,43.0
colored_cubes_0.989_green_rub,0.14,1.13,1.1
colored_cubes_0.989_wood_rough,0.2,5.07,3.22
colored_cubes_0.989_wood_smooth,0.22,2.97,2.47
nolid_cube_0.390_green_rub,23.34,11.27,39.09
nolid_cube_0.390_wood_rough,52.71,40.28,36.55
nolid_cube_0.390_wood_smooth,25.46,29.14,28.24
nolid_cube_0.498_green_rub,9.64,16.68,11.59
nolid_cube_0.498_wood_rough,12.63,16.62,16.93
nolid_cube_0.498_wood_smooth,11.26,19.61,15.3
nolid_cube_0.598_green_rub,13.89,0.85,2.3
nolid_cube_0.598_wood_rough,17.9,0.16,2.86
nolid_cube_0.598_wood_smooth,22.17,0.66,1.48
nolid_cube_0.694_green_rub,1.63,9.79,6.69
nolid_cube_0.694_wood_rough,27.68,6.33,4.77
nolid_cube_0.694_wood_smooth,25.36,1.09,2.82
nolid_cube_0.798_green_rub,7.32,1.01,8.71
nolid_cube_0.798_wood_rough,7.38,4.0,0.93
nolid_cube_0.798_wood_smooth,4.77,1.65,4.42
nolid_cube_0.915_green_rub,3.5,2.17,2.95
nolid_cube_0.915_wood_rough,0.43,1.46,3.82
nolid_cube_0.915_wood_smooth,0.72,0.62,3.34
nolid_cube_1.123_green_rub,17.13,28.75,38.97
nolid_cube_1.123_wood_rough,11.68,16.37,15.45
nolid_cube_1.123_wood_smooth,12.17,17.0,16.08
nolid_cube_1.240_green_rub,22.25,28.02,39.73
nolid_cube_1.240_wood_smooth,22.14,39.74,38.3
nolid_cube_1.456_green_rub,45.38,74.35,70.52
nolid_cube_1.656_green_rub,49.9,54.13,58.59
nolid_cube_1.856_green_rub,64.54,63.3,65.69
wooden_cube_0.348_green_rub,9.57,13.99,15.08
wooden_cube_0.348_wood_rough,9.2,6.19,9.5
wooden_cube_0.348_wood_smooth,19.21,18.67,17.65
wooden_cube_0.570_green_rub,10.94,2.3,0.57
wooden_cube_0.570_wood_rough,6.95,7.94,12.68
wooden_cube_0.570_wood_smooth,24.08,3.19,0.67
