domain,pinn_annstartepo300_rampd600_pcri-L1_p5c10.0_p2-2c5.0 [Drop0.4_Epo1000],pinn_annstartepo300_pcri-L1_p10c10.0_p9-2c5.0 [Drop0.4_Epo1000],pinn_annstartepo300_rampd600_pcri-L1_p5c10.0 [Drop0.4_Epo1000],pinn_pcri-L1_p5c10.0 [Drop0.4_Epo1000],data_tcri-log1p_mse_task10.0 [Drop0.4_Epo1000],pinn_pcri-L1_p10c10.0 [FS10_Drop0.4_Epo1000],pinn_annstartepo300_pcri-L1_p10c10.0_p9-2c5.0 [FS10_Drop0.4_Epo1000],pinn_annstartepo200_rampd700_pcri-L1_p5c10.0_p9-2c5.0 [FS10_Drop0.4_Epo1000],pinn_pcri-L1_p10c10.0 [MS10_Drop0.4_Epo1000],pinn_pcri-L1_p5c10.0 [FS10_Drop0.4_Epo1000]
blue_cylinder_0.175_green_rub,19.93,28.63,45.6,45.6,2.49,42.06,44.86,31.52,34.15,10.56
blue_cylinder_0.175_wood_rough,10.05,32.11,44.71,44.71,0.72,24.67,9.53,26.31,27.88,7.69
blue_cylinder_0.175_wood_smooth,5.95,5.4,11.86,11.86,19.0,67.7,68.08,2.87,71.21,44.16
blue_cylinder_0.376_green_rub,9.41,31.12,34.22,34.22,13.03,16.95,20.9,15.71,20.51,18.76
blue_cylinder_0.376_wood_rough,17.62,34.5,31.42,31.42,2.69,48.57,43.46,18.96,24.52,12.38
blue_cylinder_0.376_wood_smooth,0.44,3.19,69.3,69.3,17.73,60.59,68.28,16.51,13.84,22.0
colored_cubes_0.167_green_rub,5.14,4.33,16.88,16.88,3.05,46.66,61.49,56.8,59.42,34.36
colored_cubes_0.397_green_rub,24.21,2.2,28.51,28.51,27.22,57.61,65.5,3.27,4.33,13.27
colored_cubes_0.989_green_rub,8.87,0.02,41.17,41.17,55.17,12.41,10.07,70.17,49.78,75.44
colored_cubes_0.989_wood_rough,45.96,50.19,83.15,83.15,104.11,56.46,57.76,109.38,112.2,119.28
colored_cubes_0.989_wood_smooth,92.74,48.59,110.35,110.35,108.31,61.52,60.54,121.79,79.95,127.31
nolid_cube_0.390_green_rub,10.03,56.11,48.53,48.53,1.8,10.02,34.04,44.51,6.13,42.6
nolid_cube_0.390_wood_rough,7.21,13.11,75.87,75.87,65.56,63.08,74.23,63.53,74.39,91.59
nolid_cube_0.390_wood_smooth,11.54,22.35,15.87,15.87,4.89,46.05,40.78,17.48,42.94,9.32
nolid_cube_0.498_green_rub,7.89,56.18,10.74,10.74,0.13,0.43,10.79,43.1,33.99,43.53
nolid_cube_0.498_wood_rough,4.39,9.94,15.89,15.89,39.86,68.87,76.45,70.48,55.72,21.09
nolid_cube_0.498_wood_smooth,10.35,17.27,44.77,44.77,32.53,20.82,18.49,6.96,29.1,9.08
nolid_cube_0.598_green_rub,3.18,56.05,9.4,9.4,2.87,1.04,15.66,1.54,14.85,43.48
nolid_cube_0.598_wood_rough,14.86,10.55,54.39,54.39,69.7,68.86,74.08,69.19,54.28,91.59
nolid_cube_0.598_wood_smooth,9.99,22.46,18.44,18.44,21.45,34.76,44.68,47.12,39.59,8.96
nolid_cube_0.694_green_rub,8.2,56.11,4.41,4.41,3.7,22.01,23.55,1.04,9.26,42.91
nolid_cube_0.694_wood_rough,16.61,9.62,77.43,77.43,66.4,42.87,45.17,69.36,78.63,91.6
nolid_cube_0.694_wood_smooth,8.21,22.49,23.58,23.58,5.2,13.0,9.26,24.12,1.88,8.64
nolid_cube_0.798_green_rub,7.01,51.43,10.21,10.21,1.75,21.43,25.66,5.07,5.94,25.85
nolid_cube_0.798_wood_rough,16.96,9.72,16.36,16.36,73.61,38.74,15.95,14.36,85.74,91.6
nolid_cube_0.798_wood_smooth,8.15,22.16,14.48,14.48,37.21,2.33,6.92,46.12,25.07,59.5
nolid_cube_0.915_green_rub,0.89,55.53,46.28,46.28,3.49,46.98,48.66,11.53,19.23,25.85
nolid_cube_0.915_wood_rough,17.26,9.75,38.99,38.99,71.3,30.16,29.57,83.03,74.73,91.6
nolid_cube_0.915_wood_smooth,0.03,3.63,44.57,44.57,41.97,0.25,0.37,48.3,52.62,59.5
nolid_cube_1.123_green_rub,0.81,54.56,47.02,47.02,9.0,23.99,27.65,16.4,9.71,25.8
nolid_cube_1.123_wood_rough,18.02,9.83,16.97,16.97,73.77,25.98,25.14,61.38,70.14,91.57
nolid_cube_1.123_wood_smooth,9.34,22.0,16.61,16.61,44.0,8.48,9.12,44.41,52.9,59.5
nolid_cube_1.240_green_rub,6.76,51.96,46.9,46.9,0.79,22.1,27.11,14.73,16.07,25.73
nolid_cube_1.240_wood_rough,19.32,9.95,16.87,16.87,70.19,33.21,31.72,53.75,44.59,91.57
nolid_cube_1.240_wood_smooth,9.32,22.21,15.49,15.49,44.52,6.23,7.58,51.02,47.3,59.49
nolid_cube_1.456_green_rub,2.61,54.4,40.31,40.31,5.99,12.0,20.45,17.61,22.8,25.71
nolid_cube_1.456_wood_rough,24.68,9.75,18.42,18.42,71.87,38.71,35.55,84.1,81.32,91.58
nolid_cube_1.456_wood_smooth,3.12,22.19,13.62,13.62,43.78,10.49,6.52,53.52,34.68,59.43
nolid_cube_1.656_green_rub,1.99,52.25,41.7,41.7,11.35,25.41,29.82,20.39,30.19,25.17
nolid_cube_1.656_wood_rough,27.08,10.9,16.49,16.49,77.15,77.26,48.62,86.01,40.52,91.59
