domain,pinn_annstartepo300_rampd600_pcri-L1_p5c10.0_p2-2c5.0 [Drop0.4_Epo1000],pinn_annstartepo300_pcri-L1_p10c10.0_p9-2c5.0 [Drop0.4_Epo1000],pinn_annstartepo300_rampd600_pcri-L1_p5c10.0 [Drop0.4_Epo1000],pinn_pcri-L1_p5c10.0 [Drop0.4_Epo1000],data_tcri-log1p_mse_task10.0 [Drop0.4_Epo1000],pinn_pcri-L1_p10c10.0 [FS10_Drop0.4_Epo1000],pinn_annstartepo300_pcri-L1_p10c10.0_p9-2c5.0 [FS10_Drop0.4_Epo1000],pinn_annstartepo200_rampd700_pcri-L1_p5c10.0_p9-2c5.0 [FS10_Drop0.4_Epo1000],pinn_pcri-L1_p10c10.0 [MS10_Drop0.4_Epo1000],pinn_pcri-L1_p5c10.0 [FS10_Drop0.4_Epo1000]
blue_cylinder_0.175_green_rub,13.52,19.42,30.93,30.93,1.69,28.53,30.43,21.38,23.16,7.16
blue_cylinder_0.175_wood_rough,6.82,21.78,30.33,30.33,0.49,16.74,6.46,17.85,18.91,5.22
blue_cylinder_0.175_wood_smooth,4.03,3.66,8.05,8.05,12.89,45.92,46.17,1.94,48.3,29.95
blue_cylinder_0.376_green_rub,6.39,21.1,23.21,23.21,8.84,11.49,14.17,10.65,13.91,12.73
blue_cylinder_0.376_wood_rough,11.95,23.4,21.31,21.31,1.83,32.94,29.48,12.86,16.63,8.39
blue_cylinder_0.376_wood_smooth,0.3,2.16,47.0,47.0,12.03,41.09,46.31,11.2,9.39,14.92
colored_cubes_0.167_green_rub,3.48,2.94,11.45,11.45,2.07,31.65,41.71,38.52,40.3,23.31
colored_cubes_0.397_green_rub,16.42,1.49,19.34,19.34,18.46,39.08,44.43,2.22,2.94,9.0
colored_cubes_0.989_green_rub,6.02,0.02,27.92,27.92,37.42,8.41,6.83,47.59,33.77,51.17
colored_cubes_0.989_wood_rough,31.17,34.04,56.4,56.4,70.62,38.3,39.18,74.18,76.1,80.9
colored_cubes_0.989_wood_smooth,62.9,32.96,74.85,74.85,73.46,41.72,41.06,82.6,54.23,86.35
nolid_cube_0.390_green_rub,6.8,38.06,32.92,32.92,1.22,6.79,23.09,30.19,4.16,28.9
nolid_cube_0.390_wood_rough,4.89,8.89,51.46,51.46,44.47,42.78,50.35,43.09,50.45,62.12
nolid_cube_0.390_wood_smooth,7.83,15.16,10.76,10.76,3.32,31.23,27.66,11.86,29.13,6.32
nolid_cube_0.498_green_rub,5.35,38.11,7.28,7.28,0.09,0.29,7.32,29.24,23.05,29.52
nolid_cube_0.498_wood_rough,2.98,6.74,10.78,10.78,27.04,46.71,51.85,47.8,37.79,14.3
nolid_cube_0.498_wood_smooth,7.02,11.71,30.37,30.37,22.06,14.12,12.54,4.72,19.74,6.16
