domain,pinn_pcri-L1_p10c10.0 [Drop0.4_Epo1000],pinn_annstartepo300_rampd600_pcri-L1_p5c10.0_p2-2c5.0 [Drop0.4_Epo1000],pinn_pcri-L1_p5c10.0 [Drop0.4_Epo1000]
blue_cylinder_0.175_green_rub,20.62,30.0,30.93
blue_cylinder_0.175_wood_rough,23.02,29.48,30.33
blue_cylinder_0.175_wood_smooth,2.64,7.03,8.05
blue_cylinder_0.376_green_rub,15.57,20.7,23.21
blue_cylinder_0.376_wood_rough,14.36,17.19,21.31
blue_cylinder_0.376_wood_smooth,10.14,8.14,47.0
colored_cubes_0.167_green_rub,3.94,10.58,11.45
colored_cubes_0.397_green_rub,19.56,29.79,19.34
colored_cubes_0.989_green_rub,6.18,30.3,27.92
colored_cubes_0.989_wood_rough,36.48,60.8,56.4
colored_cubes_0.989_wood_smooth,43.47,68.32,74.85
nolid_cube_0.390_green_rub,9.54,12.25,11.36
nolid_cube_0.390_wood_rough,19.34,6.84,51.46
nolid_cube_0.390_wood_smooth,8.6,10.64,10.76
nolid_cube_0.498_green_rub,30.35,22.84,7.28
nolid_cube_0.498_wood_rough,19.35,11.56,10.78
nolid_cube_0.498_wood_smooth,1.83,27.99,30.37
nolid_cube_0.598_green_rub,36.2,5.88,6.37
nolid_cube_0.598_wood_rough,15.14,12.56,36.89
nolid_cube_0.598_wood_smooth,12.94,9.29,12.51
nolid_cube_0.694_green_rub,34.33,7.84,2.99
nolid_cube_0.694_wood_rough,13.6,20.15,52.51
nolid_cube_0.694_wood_smooth,12.58,9.68,15.99
nolid_cube_0.798_green_rub,29.47,31.25,6.92
nolid_cube_0.798_wood_rough,10.55,12.0,11.1
nolid_cube_0.798_wood_smooth,10.88,5.53,9.82
nolid_cube_0.915_green_rub,31.68,30.74,31.39
nolid_cube_0.915_wood_rough,10.45,17.0,26.44
nolid_cube_0.915_wood_smooth,14.71,28.3,30.23
nolid_cube_1.123_green_rub,29.43,27.48,31.89
nolid_cube_1.123_wood_rough,14.07,16.34,11.51
nolid_cube_1.123_wood_smooth,7.94,9.2,11.27
nolid_cube_1.240_green_rub,24.34,24.07,31.81
nolid_cube_1.240_wood_smooth,8.23,6.32,10.51
nolid_cube_1.456_green_rub,28.82,21.97,27.34
nolid_cube_1.656_green_rub,25.18,19.69,28.28
nolid_cube_1.856_green_rub,13.38,16.81,23.83
wooden_cube_0.348_green_rub,2.29,14.46,5.7
wooden_cube_0.348_wood_rough,34.58,70.29,74.48
wooden_cube_0.348_wood_smooth,28.14,26.21,24.08
wooden_cube_0.570_green_rub,2.49,8.73,7.6
wooden_cube_0.570_wood_rough,36.74,50.27,47.06
wooden_cube_0.570_wood_smooth,30.89,39.66,27.2
