domain,pinn_annstartepo300_rampd600_pcri-L1_p5c10.0_p2-2c5.0 [Drop0.4_Epo1000],pinn_annstartepo300_pcri-L1_p10c10.0_p9-2c5.0 [Drop0.4_Epo1000],pinn_annstartepo300_rampd600_pcri-L1_p5c10.0 [Drop0.4_Epo1000],pinn_pcri-L1_p5c10.0 [Drop0.4_Epo1000],data_tcri-log1p_mse_task10.0 [Drop0.4_Epo1000],pinn_pcri-L1_p10c10.0 [FS10_Drop0.4_Epo1000],pinn_annstartepo300_pcri-L1_p10c10.0_p9-2c5.0 [FS10_Drop0.4_Epo1000],pinn_annstartepo200_rampd700_pcri-L1_p5c10.0_p9-2c5.0 [FS10_Drop0.4_Epo1000],pinn_pcri-L1_p10c10.0 [MS10_Drop0.4_Epo1000],pinn_pcri-L1_p5c10.0 [FS10_Drop0.4_Epo1000]
blue_cylinder_0.175_green_rub,15.98,23.79,40.76,40.76,1.87,27.01,28.55,26.5,22.5,7.54
blue_cylinder_0.175_wood_rough,7.55,26.31,38.63,38.63,0.52,16.4,6.67,17.4,18.34,5.73
blue_cylinder_0.175_wood_smooth,6.11,5.24,12.56,12.56,17.29,50.42,50.64,2.81,52.36,36.05
blue_cylinder_0.376_green_rub,7.24,26.12,22.54,22.54,9.23,11.84,14.4,12.38,14.15,14.97
blue_cylinder_0.376_wood_rough,13.63,28.54,25.67,25.67,1.97,29.91,27.19,14.74,19.48,9.38
blue_cylinder_0.376_wood_smooth,0.44,3.13,51.31,51.31,16.23,46.36,50.75,15.19,12.9,19.75
colored_cubes_0.167_green_rub,4.78,4.01,16.6,16.6,2.73,34.97,43.66,41.01,42.5,27.0
colored_cubes_0.397_green_rub,19.81,1.98,22.93,22.93,22.0,41.48,45.85,3.01,3.86,11.37
colored_cubes_0.989_green_rub,7.75,0.02,31.5,31.5,40.07,10.67,8.75,48.33,36.88,51.03
colored_cubes_0.989_wood_rough,51.48,54.91,77.07,77.07,87.96,59.72,60.68,90.39,91.66,94.7
colored_cubes_0.989_wood_smooth,88.65,58.88,97.3,97.3,96.37,69.12,68.4,102.23,81.41,104.44
