domain,pinn_pcri-L1_p10c10.0 [MS10_FS0_Drop0.4_Epo1000],data_tcri-log1p_mse_task10.0 [Drop0.4_Epo1000],pinn_annstartepo200_rampd700_pcri-L1_p5c10.0_p9-2c5.0 [FS10_Drop0.4_Epo1000],pinn_pcri-L1_p5c10.0 [FS10_Drop0.4_Epo1000],pinn_pcri-L1_p10c10.0 [MS10_Drop0.4_Epo1000],pinn_annstartepo300_pcri-L1_p5c10.0_p2-2c5.0 [Drop0.4_Epo1000],pinn_annstartepo300_pcri-L1_p10c10.0_p9-2c5.0 [FS10_Drop0.4_Epo1000],pinn_pcri-L1_p10c10.0 [FS10_Drop0.4_Epo1000],pinn_annstartepo300_rampd600_pcri-L1_p5c10.0_p2-2c5.0 [Drop0.4_Epo1000],pinn_annstartepo300_rampd600_pcri-L1_p5c10.0 [Drop0.4_Epo1000]
blue_cylinder_0.175_green_rub,26.7,13.29,15.05,26.62,12.02,30.2,22.81,22.5,6.61,6.56
blue_cylinder_0.175_wood_rough,30.66,6.43,9.78,19.61,9.57,30.2,12.82,13.27,7.76,7.72
blue_cylinder_0.175_wood_smooth,29.6,6.84,11.65,22.03,8.8,30.2,13.97,14.57,7.99,8.09
blue_cylinder_0.376_green_rub,15.62,7.77,19.08,31.25,3.22,18.25,17.37,18.8,3.12,3.39
blue_cylinder_0.376_wood_rough,14.2,9.08,12.11,26.67,2.59,18.25,10.73,10.74,3.16,3.3
blue_cylinder_0.376_wood_smooth,15.41,7.27,15.42,27.0,2.92,18.25,19.77,20.72,3.69,4.13
colored_cubes_0.167_green_rub,28.75,7.93,16.42,29.06,10.73,30.68,20.26,21.43,7.71,7.62
colored_cubes_0.397_green_rub,26.0,12.74,27.79,31.02,5.87,17.0,20.66,19.61,3.34,3.36
colored_cubes_0.989_green_rub,2.85,20.93,6.42,1.5,22.31,18.22,15.89,16.97,29.0,30.4
colored_cubes_0.989_wood_rough,8.86,20.36,1.65,1.64,25.32,18.22,12.94,15.24,33.14,33.64
colored_cubes_0.989_wood_smooth,2.58,20.01,5.01,1.48,20.24,18.22,13.71,16.02,35.46,36.82
nolid_cube_0.390_green_rub,21.21,11.83,31.44,31.19,3.66,17.41,23.24,25.07,3.85,4.0
nolid_cube_0.390_wood_rough,28.83,9.33,30.6,35.14,4.27,17.41,26.79,28.22,5.43,5.54
nolid_cube_0.390_wood_smooth,22.61,9.05,23.46,26.26,3.93,17.41,20.34,20.64,4.25,4.41
nolid_cube_0.498_green_rub,12.45,5.1,19.69,23.2,9.49,10.99,13.89,14.66,8.11,8.84
nolid_cube_0.498_wood_rough,9.85,5.12,20.24,23.3,7.76,10.99,17.9,19.13,8.58,8.89
nolid_cube_0.498_wood_smooth,16.33,4.41,19.96,22.62,8.27,10.99,15.82,16.02,8.6,8.91
nolid_cube_0.598_green_rub,5.77,2.9,12.84,19.96,14.39,5.04,7.93,8.3,11.58,13.04
nolid_cube_0.598_wood_rough,14.03,1.28,19.25,22.09,13.32,5.04,13.45,15.27,15.19,15.99
nolid_cube_0.598_wood_smooth,7.78,3.57,16.74,19.28,15.31,5.04,12.85,11.97,14.81,15.74
nolid_cube_0.694_green_rub,9.35,6.5,13.36,15.94,18.13,0.67,8.03,8.63,15.42,16.76
