domain,pinn_pcri-L1_p10c10.0 [MS10_Drop0.4_Epo1000],pinn_annstartepo200_rampd700_pcri-L1_p5c10.0_p9-2c5.0 [FS10_Drop0.4_Epo1000],pinn_annstartepo300_rampd600_pcri-L1_p5c10.0_p2-2c5.0 [FS10_Drop0.4_Epo1000]
blue_cylinder_0.175_green_rub,10.63,13.32,24.18
blue_cylinder_0.175_wood_rough,8.47,8.65,21.96
blue_cylinder_0.175_wood_smooth,7.78,10.31,22.69
blue_cylinder_0.376_green_rub,2.85,16.88,17.61
blue_cylinder_0.376_wood_rough,2.29,10.72,13.51
blue_cylinder_0.376_wood_smooth,2.59,13.64,15.06
colored_cubes_0.167_green_rub,9.49,14.53,27.9
colored_cubes_0.397_green_rub,5.19,24.59,13.75
colored_cubes_0.989_green_rub,19.74,5.68,16.24
colored_cubes_0.989_wood_rough,22.4,1.46,17.48
colored_cubes_0.989_wood_smooth,17.91,4.43,16.33
nolid_cube_0.390_green_rub,3.24,27.81,13.21
nolid_cube_0.390_wood_rough,3.78,27.07,16.67
nolid_cube_0.390_wood_smooth,3.47,20.76,15.22
nolid_cube_0.498_green_rub,8.4,17.42,8.99
nolid_cube_0.498_wood_rough,6.87,17.91,10.51
nolid_cube_0.498_wood_smooth,7.32,17.66,9.09
nolid_cube_0.598_green_rub,12.73,11.36,4.74
nolid_cube_0.598_wood_rough,11.79,17.03,3.1
nolid_cube_0.598_wood_smooth,13.54,14.81,3.53
nolid_cube_0.694_green_rub,16.04,11.82,2.2
nolid_cube_0.694_wood_rough,14.7,14.17,1.89
nolid_cube_0.694_wood_smooth,18.31,15.11,3.76
nolid_cube_0.798_green_rub,14.63,7.03,7.32
nolid_cube_0.798_wood_rough,20.13,9.9,6.72
nolid_cube_0.798_wood_smooth,22.19,8.73,7.58
nolid_cube_0.915_green_rub,21.79,5.43,13.19
nolid_cube_0.915_wood_rough,25.96,2.68,13.68
nolid_cube_0.915_wood_smooth,20.89,2.55,13.59
nolid_cube_1.123_green_rub,27.16,16.44,22.76
nolid_cube_1.123_wood_rough,29.19,12.68,22.93
nolid_cube_1.123_wood_smooth,26.87,9.16,24.48
nolid_cube_1.240_green_rub,32.15,24.03,25.96
nolid_cube_1.240_wood_smooth,35.1,15.81,30.64
nolid_cube_1.456_green_rub,43.94,38.94,36.53
nolid_cube_1.656_green_rub,48.59,49.98,45.21
nolid_cube_1.856_green_rub,56.26,56.86,57.4
wooden_cube_0.348_green_rub,2.56,21.81,18.54
wooden_cube_0.348_wood_rough,1.56,12.05,16.58
wooden_cube_0.348_wood_smooth,0.98,21.54,20.76
wooden_cube_0.570_green_rub,11.43,11.97,5.57
wooden_cube_0.570_wood_rough,10.41,16.19,5.12
wooden_cube_0.570_wood_smooth,10.29,15.87,5.2
