domain,pinn_pcri-L1_p10c10.0 [MS10_FS0_Drop0.4_Epo1000],data_tcri-log1p_mse_task10.0 [Drop0.4_Epo1000],pinn_annstartepo200_rampd700_pcri-L1_p5c10.0_p9-2c5.0 [FS10_Drop0.4_Epo1000],pinn_pcri-L1_p5c10.0 [FS10_Drop0.4_Epo1000],pinn_pcri-L1_p10c10.0 [MS10_Drop0.4_Epo1000],pinn_annstartepo300_pcri-L1_p10c10.0_p9-2c5.0 [FS10_Drop0.4_Epo1000],pinn_pcri-L1_p10c10.0 [FS10_Drop0.4_Epo1000],pinn_annstartepo300_rampd600_pcri-L1_p5c10.0_p2-2c5.0 [Drop0.4_Epo1000],pinn_pcri-L1_p5c10.0 [Drop0.4_Epo1000],pinn_annstartepo300_rampd600_pcri-L1_p5c10.0 [Drop0.4_Epo1000]
blue_cylinder_0.175_green_rub,28.08,15.35,17.98,32.87,12.4,28.08,28.05,6.66,6.65,6.65
blue_cylinder_0.175_wood_rough,31.97,6.75,10.57,25.26,9.89,17.22,18.13,9.06,9.3,9.3
blue_cylinder_0.175_wood_smooth,30.61,7.88,14.83,29.41,8.88,18.16,19.26,8.85,9.07,9.07
blue_cylinder_0.376_green_rub,17.96,8.66,22.66,32.83,3.64,20.16,20.32,3.18,3.47,3.47
blue_cylinder_0.376_wood_rough,15.32,9.71,15.16,30.21,4.88,11.41,11.47,3.66,3.63,3.63
blue_cylinder_0.376_wood_smooth,18.03,8.15,20.15,30.44,3.22,22.77,23.3,4.13,4.56,4.56
colored_cubes_0.167_green_rub,30.18,9.76,20.24,34.6,10.99,25.12,26.72,7.99,8.04,8.04
colored_cubes_0.397_green_rub,28.1,13.02,29.53,32.3,7.64,22.77,21.99,3.71,3.77,3.77
colored_cubes_0.989_green_rub,2.99,20.99,9.39,1.61,23.43,18.51,19.03,29.45,30.87,30.87
colored_cubes_0.989_wood_rough,11.89,20.45,3.0,1.65,26.42,15.69,17.4,33.57,34.05,34.05
colored_cubes_0.989_wood_smooth,2.59,20.1,8.42,1.59,21.48,16.15,17.76,35.48,36.84,36.84
nolid_cube_0.390_green_rub,23.5,11.95,32.68,32.62,4.74,25.65,27.09,4.09,4.03,4.03
nolid_cube_0.390_wood_rough,29.85,9.81,31.17,35.15,5.11,28.07,29.42,6.02,6.11,6.11
nolid_cube_0.390_wood_smooth,24.98,9.27,26.41,30.03,4.5,23.56,24.18,4.44,4.63,4.63
nolid_cube_0.498_green_rub,15.32,5.3,21.29,25.17,9.54,16.37,17.42,8.43,9.05,9.05
nolid_cube_0.498_wood_rough,12.87,6.21,21.77,25.66,8.38,19.39,20.79,8.99,9.23,9.23
nolid_cube_0.498_wood_smooth,19.56,4.68,22.13,25.23,8.58,18.03,18.38,9.1,9.46,9.46
