domain,pinn_pcri-L1_p10c10.0 [FS10_MS0_Drop0.4_Epo1000],pinn_pcri-L1_p10c10.0 [MS10_Drop0.4_Epo1000],pinn_annstartepo300_rampd600_pcri-L1_p5c10.0_p2-2c5.0 [FS10_Drop0.4_Epo1000]
blue_cylinder_0.175_green_rub,26.8,10.97,27.68
blue_cylinder_0.175_wood_rough,26.64,8.75,26.04
blue_cylinder_0.175_wood_smooth,26.66,7.85,27.49
blue_cylinder_0.376_green_rub,15.98,3.22,18.55
blue_cylinder_0.376_wood_rough,15.99,4.32,14.7
blue_cylinder_0.376_wood_smooth,16.05,2.85,16.64
colored_cubes_0.167_green_rub,27.09,9.72,31.07
colored_cubes_0.397_green_rub,14.83,6.75,14.51
colored_cubes_0.989_green_rub,16.5,20.73,16.32
colored_cubes_0.989_wood_rough,16.41,23.38,17.48
colored_cubes_0.989_wood_smooth,16.46,19.01,16.37
nolid_cube_0.390_green_rub,15.2,4.2,13.38
nolid_cube_0.390_wood_rough,15.14,4.52,16.86
nolid_cube_0.390_wood_smooth,15.25,3.98,17.02
nolid_cube_0.498_green_rub,9.49,8.44,9.77
nolid_cube_0.498_wood_rough,9.61,7.42,11.4
nolid_cube_0.498_wood_smooth,9.52,7.59,9.73
nolid_cube_0.598_green_rub,4.3,13.42,5.89
nolid_cube_0.598_wood_rough,4.16,12.35,3.13
nolid_cube_0.598_wood_smooth,4.23,13.58,3.68
nolid_cube_0.694_green_rub,0.75,17.06,2.6
nolid_cube_0.694_wood_rough,0.8,15.85,1.98
nolid_cube_0.694_wood_smooth,0.8,18.38,5.23
nolid_cube_0.798_green_rub,6.25,16.3,7.32
nolid_cube_0.798_wood_rough,6.27,21.14,6.88
nolid_cube_0.798_wood_smooth,6.35,22.48,7.58
nolid_cube_0.915_green_rub,12.39,22.73,13.22
nolid_cube_0.915_wood_rough,12.47,26.76,13.68
nolid_cube_0.915_wood_smooth,12.39,22.17,13.59
nolid_cube_1.123_green_rub,23.45,27.38,22.85
nolid_cube_1.123_wood_rough,23.46,29.75,23.24
nolid_cube_1.123_wood_smooth,23.47,27.28,24.48
nolid_cube_1.240_green_rub,29.62,32.54,26.63
nolid_cube_1.240_wood_smooth,29.66,35.5,30.64
nolid_cube_1.456_green_rub,41.07,44.57,36.89
nolid_cube_1.656_green_rub,51.55,48.8,45.67
nolid_cube_1.856_green_rub,62.14,56.34,57.7
wooden_cube_0.348_green_rub,17.57,4.78,19.75
wooden_cube_0.348_wood_rough,17.5,2.05,19.12
wooden_cube_0.348_wood_smooth,17.36,1.86,22.53
wooden_cube_0.570_green_rub,5.83,11.66,5.67
wooden_cube_0.570_wood_rough,5.77,10.87,5.32
wooden_cube_0.570_wood_smooth,5.78,10.52,5.48
