domain,pinn_pcri-L1_p10c10.0 [MS10_FS0_Drop0.4_Epo1000],data_tcri-log1p_mse_task10.0 [Drop0.4_Epo1000],pinn_annstartepo200_rampd700_pcri-L1_p5c10.0_p9-2c5.0 [FS10_Drop0.4_Epo1000],pinn_pcri-L1_p5c10.0 [FS10_Drop0.4_Epo1000],pinn_annstartepo300_pcri-L1_p5c10.0_p2-2c5.0 [Drop0.4_Epo1000],pinn_annstartepo300_pcri-L1_p10c10.0_p9-2c5.0 [FS10_Drop0.4_Epo1000],pinn_pcri-L1_p10c10.0 [MS10_Drop0.4_Epo1000],pinn_pcri-L1_p10c10.0 [FS10_Drop0.4_Epo1000],pinn_annstartepo300_rampd600_pcri-L1_p5c10.0_p2-2c5.0 [Drop0.4_Epo1000],pinn_annstartepo300_rampd600_pcri-L1_p5c10.0 [Drop0.4_Epo1000]
blue_cylinder_0.175_green_rub,110.01,71.51,77.28,96.68,118.39,89.45,72.13,88.33,48.11,47.68
blue_cylinder_0.175_wood_rough,116.72,46.43,61.65,85.54,118.39,66.42,62.11,66.81,51.52,50.77
blue_cylinder_0.175_wood_smooth,115.57,47.18,65.22,84.76,118.39,70.47,59.18,71.1,53.55,53.78
blue_cylinder_0.376_green_rub,49.06,28.76,54.3,79.45,57.95,53.1,14.18,57.35,15.03,16.47
blue_cylinder_0.376_wood_rough,46.95,35.8,38.86,68.62,57.94,39.36,10.21,39.22,15.3,16.17
blue_cylinder_0.376_wood_smooth,48.25,28.81,45.82,70.09,57.94,58.16,13.07,60.59,17.81,20.05
colored_cubes_0.167_green_rub,115.56,53.07,80.64,105.9,121.39,87.48,69.37,89.52,55.18,54.38
colored_cubes_0.397_green_rub,67.53,43.16,71.74,77.22,52.93,58.95,22.18,56.91,15.21,15.32
colored_cubes_0.989_green_rub,4.99,43.34,12.4,2.59,36.64,33.14,48.3,35.31,66.29,70.67
colored_cubes_0.989_wood_rough,17.51,41.95,2.95,2.83,36.64,26.37,56.66,31.32,79.46,81.09
colored_cubes_0.989_wood_smooth,4.49,41.07,9.73,2.56,36.64,27.89,43.05,32.81,86.33,91.13
nolid_cube_0.390_green_rub,59.63,41.55,78.94,77.62,54.58,62.99,14.85,67.23,18.32,18.88
nolid_cube_0.390_wood_rough,75.03,32.93,78.67,86.18,54.58,71.32,17.22,73.82,24.12,24.72
