domain,pinn_annstartepo300_pcri-L1_p5c10.0_p2-2c5.0 [Drop0.4_Epo1000],pinn_annstartepo300_pcri-L1_p10c10.0_p9-2c5.0 [Drop0.4_Epo1000],pinn_annstartepo300_rampd600_pcri-L1_p5c10.0 [Drop0.4_Epo1000],pinn_pcri-L1_p5c10.0 [Drop0.4_Epo1000],data_tcri-log1p_mse_task10.0 [Drop0.4_Epo1000],pinn_annstartepo300_rampd600_pcri-L1_p5c10.0_p2-2c5.0 [Drop0.4_Epo1000],pinn_pcri-L1_p10c10.0 [MS10_Drop0.4_Epo1000],pinn_pcri-L1_p5c10.0 [FS10_Drop0.4_Epo1000],pinn_pcri-L1_p10c10.0 [MS10_FS0_Drop0.4_Epo1000],pinn_annstartepo200_rampd700_pcri-L1_p5c10.0_p9-2c5.0 [FS10_Drop0.4_Epo1000]
blue_cylinder_0.175_green_rub,0.0,0.02,0.98,0.98,6.79,0.66,2.7,17.05,7.7,8.71
blue_cylinder_0.175_wood_rough,0.0,0.01,4.59,4.59,1.8,4.13,2.21,14.09,8.02,3.55
blue_cylinder_0.175_wood_smooth,0.0,0.02,3.63,3.63,3.46,3.36,1.06,17.24,6.91,8.12
blue_cylinder_0.376_green_rub,0.0,0.04,0.64,0.64,3.39,0.56,1.5,8.9,7.84,10.82
blue_cylinder_0.376_wood_rough,0.0,0.11,1.34,1.34,3.04,1.63,3.66,12.54,5.07,8.06
blue_cylinder_0.376_wood_smooth,0.0,0.08,1.71,1.71,3.26,1.65,1.19,12.44,8.29,11.48
colored_cubes_0.167_green_rub,0.0,0.02,2.27,2.27,5.03,1.85,2.11,16.63,8.14,10.47
colored_cubes_0.397_green_rub,0.0,1.87,1.51,1.51,2.38,1.45,4.32,7.97,9.45,8.82
colored_cubes_0.989_green_rub,0.0,1.34,4.77,4.77,1.48,4.53,6.35,0.51,0.79,6.06
colored_cubes_0.989_wood_rough,0.0,1.95,4.67,4.67,1.73,4.78,6.7,0.12,7.02,2.21
colored_cubes_0.989_wood_smooth,0.0,0.75,1.03,1.03,1.72,0.99,6.37,0.51,0.11,5.98
nolid_cube_0.390_green_rub,0.0,0.1,0.46,0.46,1.49,1.22,2.67,8.47,8.95,7.89
nolid_cube_0.390_wood_rough,0.0,0.83,2.29,2.29,2.68,2.31,2.47,0.58,6.85,5.26
nolid_cube_0.390_wood_smooth,0.0,0.13,1.26,1.26,1.79,1.11,1.94,12.9,9.39,10.73
nolid_cube_0.498_green_rub,0.0,0.06,1.72,1.72,1.26,2.03,0.81,8.63,7.9,7.16
nolid_cube_0.498_wood_rough,0.0,0.24,2.21,2.21,3.11,2.39,2.8,9.52,7.33,7.08
nolid_cube_0.498_wood_smooth,0.0,1.11,2.82,2.82,1.38,2.65,2.01,9.87,9.53,8.44
nolid_cube_0.598_green_rub,0.0,0.02,2.4,2.4,3.19,3.04,4.25,3.99,5.71,3.97
nolid_cube_0.598_wood_rough,0.0,0.24,0.93,0.93,0.5,1.2,3.7,0.11,5.85,4.55
nolid_cube_0.598_wood_smooth,0.0,0.03,0.92,0.92,5.13,1.59,1.02,5.04,7.1,3.95
nolid_cube_0.694_green_rub,0.0,0.12,4.04,4.04,2.76,3.45,5.79,1.31,2.99,5.32
nolid_cube_0.694_wood_rough,0.0,0.08,2.39,2.39,2.82,2.84,5.91,0.06,3.88,1.55
