domain,pinn_annstartepo300_pcri-L1_p10c10.0_p9-2c5.0 [Drop0.4_Epo1000],pinn_pcri-L1_p10c10.0 [FS10_Drop0.4_Epo1000],pinn_annstartepo300_rampd600_pcri-L1_p5c10.0_p2-2c5.0 [Drop0.4_Epo1000],pinn_annstartepo300_pcri-L1_p10c10.0_p9-2c5.0 [FS10_Drop0.4_Epo1000],pinn_annstartepo300_rampd600_pcri-L1_p5c10.0 [Drop0.4_Epo1000],pinn_pcri-L1_p5c10.0 [Drop0.4_Epo1000],pinn_annstartepo200_rampd700_pcri-L1_p5c10.0_p9-2c5.0 [FS10_Drop0.4_Epo1000],pinn_pcri-L1_p10c10.0 [MS10_Drop0.4_Epo1000],data_tcri-log1p_mse_task10.0 [Drop0.4_Epo1000],pinn_pcri-L1_p5c10.0 [FS10_Drop0.4_Epo1000]
blue_cylinder_0.175_green_rub,29.81,29.57,36.07,31.23,37.63,37.63,22.1,23.35,23.92,27.28
blue_cylinder_0.175_wood_rough,33.08,31.55,39.87,31.94,40.61,40.61,20.9,28.23,15.61,21.7
blue_cylinder_0.175_wood_smooth,4.39,63.56,23.78,65.67,22.66,22.66,22.66,65.53,48.87,47.01
blue_cylinder_0.376_green_rub,30.85,15.92,29.37,22.02,32.47,32.47,20.67,29.17,36.86,46.4
blue_cylinder_0.376_wood_rough,33.91,26.83,30.92,28.95,32.13,32.13,19.75,26.8,25.87,38.9
blue_cylinder_0.376_wood_smooth,3.64,35.61,22.35,38.54,24.32,24.32,37.68,60.13,55.39,67.13
colored_cubes_0.167_green_rub,5.53,29.39,28.0,36.28,30.41,30.41,29.62,49.64,20.26,39.24
colored_cubes_0.397_green_rub,5.34,28.39,44.49,26.47,46.67,46.67,41.21,54.14,60.62,69.26
colored_cubes_0.989_green_rub,5.0,36.76,35.04,38.27,38.06,38.06,59.39,61.37,69.23,75.49
colored_cubes_0.989_wood_rough,39.23,77.8,80.55,77.27,83.81,83.81,108.77,103.65,111.22,119.29
colored_cubes_0.989_wood_smooth,46.0,84.27,96.45,81.8,110.82,110.82,108.91,110.36,125.37,127.35
nolid_cube_0.390_green_rub,55.94,30.05,26.16,30.5,25.41,25.41,12.66,7.07,14.61,27.51
nolid_cube_0.390_wood_rough,10.36,32.02,52.08,33.57,50.72,50.72,38.97,68.61,79.78,91.57
nolid_cube_0.390_wood_smooth,21.94,22.12,24.22,23.62,25.02,25.02,16.9,37.63,38.62,44.78
nolid_cube_0.498_green_rub,55.9,25.16,29.22,24.14,30.77,30.77,18.16,10.6,10.99,28.69
