domain,pinn_annstartepo300_pcri-L1_p10c10.0_p9-2c5.0 [Drop0.4_Epo1000],pinn_pcri-L1_p10c10.0 [FS10_Drop0.4_Epo1000],pinn_annstartepo300_rampd600_pcri-L1_p5c10.0_p2-2c5.0 [Drop0.4_Epo1000],pinn_annstartepo300_pcri-L1_p10c10.0_p9-2c5.0 [FS10_Drop0.4_Epo1000],pinn_annstartepo300_rampd600_pcri-L1_p5c10.0 [Drop0.4_Epo1000],pinn_pcri-L1_p5c10.0 [Drop0.4_Epo1000],pinn_annstartepo200_rampd700_pcri-L1_p5c10.0_p9-2c5.0 [FS10_Drop0.4_Epo1000],pinn_pcri-L1_p10c10.0 [MS10_Drop0.4_Epo1000],data_tcri-log1p_mse_task10.0 [Drop0.4_Epo1000],pinn_pcri-L1_p5c10.0 [FS10_Drop0.4_Epo1000]
blue_cylinder_0.175_green_rub,20.22,20.06,24.46,21.18,25.52,25.52,14.99,15.83,16.23,18.5
blue_cylinder_0.175_wood_rough,22.44,21.4,27.04,21.66,27.55,27.55,14.18,19.15,10.59,14.72
blue_cylinder_0.175_wood_smooth,2.98,43.11,16.13,44.54,15.37,15.37,15.37,44.44,33.14,31.89
blue_cylinder_0.376_green_rub,20.92,10.8,19.92,14.93,22.02,22.02,14.02,19.78,25.0,31.47
blue_cylinder_0.376_wood_rough,23.0,18.2,20.97,19.63,21.79,21.79,13.39,18.18,17.55,26.38
blue_cylinder_0.376_wood_smooth,2.47,24.15,15.16,26.14,16.49,16.49,25.55,40.79,37.57,45.53
colored_cubes_0.167_green_rub,3.75,19.94,18.99,24.6,20.63,20.63,20.09,33.67,13.74,26.62
colored_cubes_0.397_green_rub,3.62,19.25,30.17,17.95,31.66,31.66,27.95,36.72,41.12,46.98
colored_cubes_0.989_green_rub,3.39,24.94,23.76,25.96,25.82,25.82,40.28,41.62,46.96,51.2
colored_cubes_0.989_wood_rough,26.61,52.77,54.64,52.41,56.84,56.84,73.77,70.3,75.44,80.91
colored_cubes_0.989_wood_smooth,31.2,57.16,65.42,55.48,75.17,75.17,73.87,74.85,85.03,86.38
nolid_cube_0.390_green_rub,37.94,20.38,17.74,20.68,17.23,17.23,8.59,4.8,9.91,18.66
nolid_cube_0.390_wood_rough,7.02,21.72,35.32,22.77,34.4,34.4,26.43,46.53,54.11,62.1
nolid_cube_0.390_wood_smooth,14.88,15.0,16.42,16.02,16.97,16.97,11.46,25.52,26.2,30.37
nolid_cube_0.498_green_rub,37.91,17.07,19.82,16.38,20.87,20.87,12.32,7.19,7.45,19.46
nolid_cube_0.498_wood_rough,6.76,24.47,25.56,24.86,25.95,25.95,33.46,47.58,52.88,52.64
nolid_cube_0.498_wood_smooth,14.69,11.08,17.38,15.95,19.73,19.73,15.92,26.68,30.39,33.63
nolid_cube_0.598_green_rub,37.79,18.76,21.99,20.9,22.13,22.13,12.01,6.65,6.8,19.04
nolid_cube_0.598_wood_rough,6.76,24.81,25.45,25.71,25.45,25.45,40.26,45.93,56.12,62.12
nolid_cube_0.598_wood_smooth,15.01,9.75,13.98,11.23,16.34,16.34,19.96,26.91,28.81,33.49
nolid_cube_0.694_green_rub,37.94,14.94,24.92,16.19,24.24,24.24,9.13,6.2,6.63,18.68
nolid_cube_0.694_wood_rough,6.56,26.32,29.64,25.3,31.21,31.21,43.5,49.16,51.99,62.12
nolid_cube_0.694_wood_smooth,15.02,11.08,17.32,10.0,17.68,17.68,19.04,24.88,26.39,29.84
nolid_cube_0.798_green_rub,37.7,10.12,22.15,12.96,22.4,22.4,7.02,6.18,8.38,17.53
nolid_cube_0.798_wood_rough,6.58,23.61,24.56,22.08,25.66,25.66,41.15,51.19,54.69,57.94
nolid_cube_0.798_wood_smooth,15.14,6.46,18.79,5.92,19.34,19.34,23.79,28.22,32.85,40.35
nolid_cube_0.915_green_rub,38.03,9.27,25.98,12.63,28.55,28.55,9.03,4.33,9.84,17.52
nolid_cube_0.915_wood_rough,6.56,34.57,36.36,35.13,38.3,38.3,49.74,49.95,52.09,62.13
nolid_cube_0.915_wood_smooth,13.93,6.41,12.72,5.62,15.47,15.47,27.18,27.82,33.91,40.35
nolid_cube_1.123_green_rub,37.94,3.54,18.18,7.65,21.14,21.14,7.97,6.2,10.81,17.53
nolid_cube_1.123_wood_rough,6.57,33.59,36.5,34.49,38.7,38.7,49.68,48.96,54.92,59.71
nolid_cube_1.123_wood_smooth,15.17,17.95,20.04,20.29,25.08,25.08,30.57,27.05,35.05,40.36
nolid_cube_1.240_green_rub,37.46,5.72,15.99,8.56,17.57,17.57,10.14,8.57,12.01,17.51
nolid_cube_1.240_wood_rough,6.57,37.99,27.47,40.5,29.05,29.05,45.66,47.97,54.0,62.12
nolid_cube_1.240_wood_smooth,15.18,22.39,16.65,25.65,24.16,24.16,32.5,25.38,33.67,40.36
nolid_cube_1.456_green_rub,37.85,4.53,19.02,8.39,26.27,26.27,9.76,7.7,9.11,17.51
nolid_cube_1.456_wood_rough,6.58,43.41,30.38,46.77,28.96,28.96,53.17,52.83,55.68,62.13
nolid_cube_1.456_wood_smooth,15.1,21.68,10.26,23.99,16.45,16.45,27.27,30.82,31.97,40.35
nolid_cube_1.656_green_rub,37.45,5.24,11.91,8.47,16.24,16.24,9.54,13.2,11.8,17.47
nolid_cube_1.656_wood_rough,6.71,47.34,36.66,48.82,42.15,42.15,53.97,49.14,57.15,62.13
nolid_cube_1.656_wood_smooth,14.96,24.37,9.12,28.16,14.81,14.81,27.07,26.84,33.76,40.35
nolid_cube_1.856_green_rub,36.88,4.84,14.47,9.38,21.73,21.73,9.47,12.49,15.57,17.51
nolid_cube_1.856_wood_rough,7.01,41.49,37.87,42.86,42.2,42.2,53.57,49.04,57.39,62.13
nolid_cube_1.856_wood_smooth,14.62,23.65,5.29,24.42,11.41,11.41,32.15,31.02,34.69,40.36
wooden_cube_0.348_green_rub,6.92,13.03,10.01,14.56,10.29,10.29,14.51,30.39,34.92,38.8
wooden_cube_0.348_wood_rough,30.22,55.9,37.04,61.12,36.48,36.48,50.06,64.75,64.96,61.33
wooden_cube_0.348_wood_smooth,25.54,47.58,34.47,49.15,31.97,31.97,46.85,65.2,63.72,75.97
wooden_cube_0.570_green_rub,7.16,19.86,9.54,21.5,10.04,10.04,23.13,36.75,36.48,48.29
wooden_cube_0.570_wood_rough,30.04,45.07,50.58,49.96,49.67,49.67,50.59,66.49,73.16,76.0
wooden_cube_0.570_wood_smooth,25.71,51.41,44.1,52.68,44.72,44.72,52.79,58.95,63.42,71.47
