domain,pinn_annstartepo300_pcri-L1_p10c10.0_p9-2c5.0 [Drop0.4_Epo1000],pinn_pcri-L1_p10c10.0 [FS10_Drop0.4_Epo1000],pinn_annstartepo300_rampd600_pcri-L1_p5c10.0_p2-2c5.0 [Drop0.4_Epo1000],pinn_annstartepo300_pcri-L1_p10c10.0_p9-2c5.0 [FS10_Drop0.4_Epo1000],pinn_annstartepo300_rampd600_pcri-L1_p5c10.0 [Drop0.4_Epo1000],pinn_pcri-L1_p5c10.0 [Drop0.4_Epo1000],pinn_annstartepo200_rampd700_pcri-L1_p5c10.0_p9-2c5.0 [FS10_Drop0.4_Epo1000],data_tcri-log1p_mse_task10.0 [Drop0.4_Epo1000],pinn_pcri-L1_p5c10.0 [FS10_Drop0.4_Epo1000]
blue_cylinder_0.175_green_rub,29.82,32.35,37.12,32.83,38.64,38.64,24.73,29.04,33.66
blue_cylinder_0.175_wood_rough,33.09,35.19,42.18,34.84,43.13,43.13,22.3,19.49,25.15
blue_cylinder_0.175_wood_smooth,4.44,67.0,34.0,68.08,32.9,32.9,31.67,51.38,53.41
blue_cylinder_0.376_green_rub,30.85,18.16,30.15,24.73,33.05,33.05,22.81,38.19,47.45
blue_cylinder_0.376_wood_rough,33.92,28.79,32.08,31.13,33.03,33.03,22.37,29.52,41.11
blue_cylinder_0.376_wood_smooth,3.7,42.76,32.26,46.24,35.43,35.43,43.21,59.49,72.45
colored_cubes_0.167_green_rub,5.58,35.94,33.49,44.19,35.84,35.84,37.71,22.95,50.09
colored_cubes_0.397_green_rub,5.64,32.77,46.53,32.39,49.53,49.53,46.75,62.65,71.73
colored_cubes_0.989_green_rub,5.47,39.17,38.01,42.33,44.15,44.15,60.35,69.8,75.49
colored_cubes_0.989_wood_rough,39.42,79.49,82.34,79.34,86.01,86.01,108.91,111.34,119.29
colored_cubes_0.989_wood_smooth,46.01,85.26,96.48,82.93,110.84,110.84,109.7,125.58,127.35
nolid_cube_0.390_green_rub,55.94,32.87,33.43,32.58,32.03,32.03,17.84,18.77,27.97
nolid_cube_0.390_wood_rough,10.4,34.46,57.76,37.16,57.15,57.15,43.3,80.57,91.57
nolid_cube_0.390_wood_smooth,21.95,27.58,26.11,28.9,27.23,27.23,18.95,45.37,50.08
nolid_cube_0.498_green_rub,55.9,30.32,33.35,27.44,35.63,35.63,24.23,15.5,29.3
nolid_cube_0.498_wood_rough,9.97,40.93,47.2,42.59,49.11,49.11,56.21,79.41,82.48
nolid_cube_0.498_wood_smooth,21.7,20.01,27.59,29.6,31.31,31.31,27.23,45.57,53.39
nolid_cube_0.598_green_rub,55.72,32.98,37.14,33.79,37.34,37.34,24.84,11.59,28.58
nolid_cube_0.598_wood_rough,9.97,39.84,43.5,41.84,43.85,43.85,60.53,83.26,91.59
nolid_cube_0.598_wood_smooth,22.12,18.74,23.58,23.61,26.3,26.3,32.68,44.22,53.36
nolid_cube_0.694_green_rub,55.94,27.6,40.01,29.04,39.88,39.88,18.39,11.36,28.01
nolid_cube_0.694_wood_rough,9.67,40.52,49.64,38.95,52.57,52.57,65.33,76.88,91.6
nolid_cube_0.694_wood_smooth,22.16,21.72,28.16,22.08,28.74,28.74,29.58,41.13,49.97
nolid_cube_0.798_green_rub,55.61,20.22,37.71,22.56,38.89,38.89,11.97,13.83,25.84
nolid_cube_0.798_wood_rough,9.7,37.88,42.05,34.97,44.48,44.48,63.52,80.79,87.4
nolid_cube_0.798_wood_smooth,22.32,13.14,30.67,13.12,31.56,31.56,38.09,48.85,59.49
nolid_cube_0.915_green_rub,56.07,19.42,41.27,22.51,45.05,45.05,13.76,15.66,25.84
nolid_cube_0.915_wood_rough,9.68,53.27,57.69,54.55,61.01,61.01,74.0,77.01,91.6
nolid_cube_0.915_wood_smooth,21.3,14.87,22.41,15.75,25.21,25.21,42.35,50.32,59.5
nolid_cube_1.123_green_rub,55.94,8.48,31.87,13.45,36.7,36.7,13.09,17.11,25.84
nolid_cube_1.123_wood_rough,9.69,52.85,58.11,55.23,63.33,63.33,74.25,81.08,88.68
nolid_cube_1.123_wood_smooth,22.37,30.91,31.66,36.22,38.19,38.19,45.92,52.1,59.5
nolid_cube_1.240_green_rub,55.24,11.19,27.1,15.21,31.71,31.71,16.37,19.15,25.82
nolid_cube_1.240_wood_rough,9.69,57.81,44.33,62.37,49.71,49.71,68.28,80.0,91.59
nolid_cube_1.240_wood_smooth,22.38,35.23,26.39,40.61,36.99,36.99,48.27,49.99,59.5
nolid_cube_1.456_green_rub,55.81,7.64,29.32,13.38,39.95,39.95,15.37,14.41,25.81
nolid_cube_1.456_wood_rough,9.7,65.31,48.02,71.39,48.14,48.14,78.84,82.33,91.6
nolid_cube_1.456_wood_smooth,22.26,33.36,19.08,38.49,27.35,27.35,41.71,47.39,59.49
