domain,pinn_annstartepo300_pcri-L1_p10c10.0_p9-2c5.0 [Drop0.4_Epo1000],pinn_pcri-L1_p10c10.0 [FS10_Drop0.4_Epo1000],pinn_annstartepo300_rampd600_pcri-L1_p5c10.0_p2-2c5.0 [Drop0.4_Epo1000],pinn_annstartepo300_pcri-L1_p10c10.0_p9-2c5.0 [FS10_Drop0.4_Epo1000],pinn_annstartepo300_rampd600_pcri-L1_p5c10.0 [Drop0.4_Epo1000],pinn_pcri-L1_p5c10.0 [Drop0.4_Epo1000],pinn_annstartepo200_rampd700_pcri-L1_p5c10.0_p9-2c5.0 [FS10_Drop0.4_Epo1000],pinn_pcri-L1_p10c10.0 [MS10_Drop0.4_Epo1000],data_tcri-log1p_mse_task10.0 [Drop0.4_Epo1000],pinn_pcri-L1_p5c10.0 [FS10_Drop0.4_Epo1000]
blue_cylinder_0.175_green_rub,20.22,21.94,25.17,22.27,26.21,26.21,16.77,17.33,19.69,22.83
blue_cylinder_0.175_wood_rough,22.44,23.87,28.61,23.63,29.25,29.25,15.12,19.63,13.22,17.06
blue_cylinder_0.175_wood_smooth,3.01,45.44,23.06,46.17,22.32,22.32,21.48,44.84,34.85,36.23
blue_cylinder_0.376_green_rub,20.92,12.32,20.45,16.77,22.42,22.42,15.47,20.19,25.9,32.19
blue_cylinder_0.376_wood_rough,23.0,19.53,21.76,21.12,22.41,22.41,15.17,18.42,20.02,27.88
blue_cylinder_0.376_wood_smooth,2.51,29.0,21.88,31.36,24.03,24.03,29.3,42.19,40.35,49.14
colored_cubes_0.167_green_rub,3.79,24.37,22.72,29.97,24.31,24.31,25.58,35.67,15.57,33.97
colored_cubes_0.397_green_rub,3.83,22.23,31.56,21.97,33.59,33.59,31.71,38.61,42.49,48.65
colored_cubes_0.989_green_rub,3.71,26.56,25.78,28.71,29.94,29.94,40.93,41.86,47.34,51.2
colored_cubes_0.989_wood_rough,26.73,53.92,55.85,53.81,58.33,58.33,73.87,70.5,75.52,80.91
colored_cubes_0.989_wood_smooth,31.21,57.83,65.44,56.24,75.17,75.17,74.41,75.26,85.17,86.38
nolid_cube_0.390_green_rub,37.94,22.29,22.67,22.1,21.72,21.72,12.1,5.55,12.73,18.97
nolid_cube_0.390_wood_rough,7.06,23.37,39.17,25.21,38.76,38.76,29.37,46.77,54.65,62.1
nolid_cube_0.390_wood_smooth,14.89,18.7,17.71,19.6,18.47,18.47,12.85,26.81,30.77,33.97
nolid_cube_0.498_green_rub,37.91,20.57,22.62,18.61,24.17,24.17,16.44,9.12,10.52,19.87
nolid_cube_0.498_wood_rough,6.76,27.76,32.01,28.89,33.31,33.31,38.12,47.86,53.86,55.94
nolid_cube_0.498_wood_smooth,14.72,13.57,18.71,20.07,21.24,21.24,18.47,26.88,30.91,36.21
nolid_cube_0.598_green_rub,37.79,22.37,25.19,22.92,25.33,25.33,16.85,7.03,7.86,19.39
nolid_cube_0.598_wood_rough,6.76,27.02,29.5,28.38,29.74,29.74,41.06,46.15,56.47,62.12
nolid_cube_0.598_wood_smooth,15.01,12.71,15.99,16.02,17.84,17.84,22.16,27.05,30.0,36.19
nolid_cube_0.694_green_rub,37.94,18.72,27.14,19.69,27.05,27.05,12.47,6.33,7.7,19.0
nolid_cube_0.694_wood_rough,6.56,27.48,33.67,26.42,35.66,35.66,44.31,49.32,52.14,62.12
nolid_cube_0.694_wood_smooth,15.03,14.73,19.1,14.98,19.49,19.49,20.06,26.21,27.9,33.89
nolid_cube_0.798_green_rub,37.72,13.71,25.58,15.3,26.37,26.37,8.12,6.89,9.38,17.53
nolid_cube_0.798_wood_rough,6.58,25.7,28.52,23.72,30.17,30.17,43.08,51.31,54.79,59.28
nolid_cube_0.798_wood_smooth,15.14,8.91,20.8,8.9,21.4,21.4,25.83,28.5,33.13,40.35
nolid_cube_0.915_green_rub,38.03,13.17,27.99,15.27,30.56,30.56,9.33,5.5,10.62,17.52
nolid_cube_0.915_wood_rough,6.56,36.13,39.13,37.0,41.38,41.38,50.19,50.06,52.23,62.13
nolid_cube_0.915_wood_smooth,14.44,10.08,15.2,10.68,17.1,17.1,28.73,28.4,34.13,40.35
nolid_cube_1.123_green_rub,37.94,5.75,21.62,9.12,24.89,24.89,8.88,7.12,11.6,17.53
nolid_cube_1.123_wood_rough,6.57,35.85,39.42,37.46,42.95,42.95,50.36,49.15,54.99,60.15
nolid_cube_1.123_wood_smooth,15.17,20.97,21.48,24.57,25.9,25.9,31.15,27.47,35.34,40.36
nolid_cube_1.240_green_rub,37.47,7.59,18.38,10.32,21.51,21.51,11.11,9.4,12.99,17.51
nolid_cube_1.240_wood_rough,6.57,39.21,30.07,42.3,33.72,33.72,46.31,48.48,54.26,62.12
nolid_cube_1.240_wood_smooth,15.18,23.89,17.9,27.54,25.09,25.09,32.74,25.82,33.91,40.36
nolid_cube_1.456_green_rub,37.85,5.18,19.89,9.08,27.1,27.1,10.42,8.69,9.77,17.51
nolid_cube_1.456_wood_rough,6.58,44.29,32.57,48.42,32.65,32.65,53.47,53.12,55.84,62.13
nolid_cube_1.456_wood_smooth,15.1,22.63,12.94,26.11,18.55,18.55,28.29,31.26,32.14,40.35
nolid_cube_1.656_green_rub,37.46,6.76,14.31,9.92,20.63,20.63,10.53,13.63,12.09,17.47
nolid_cube_1.656_wood_rough,6.72,47.49,37.64,49.57,43.99,43.99,54.19,49.78,57.25,62.13
nolid_cube_1.656_wood_smooth,14.97,24.65,12.79,28.69,17.26,17.26,28.35,27.63,34.04,40.35
nolid_cube_1.856_green_rub,36.88,5.87,14.87,10.35,22.38,22.38,10.07,13.39,15.93,17.51
nolid_cube_1.856_wood_rough,7.04,42.62,38.99,44.67,44.78,44.78,53.86,49.54,57.71,62.13
nolid_cube_1.856_wood_smooth,14.63,25.08,8.09,27.14,13.49,13.49,32.5,31.25,34.81,40.36
wooden_cube_0.348_green_rub,6.92,18.82,14.12,19.65,14.15,14.15,17.93,31.9,37.1,43.17
wooden_cube_0.348_wood_rough,30.22,58.47,40.25,63.28,40.17,40.17,51.7,66.39,67.46,65.43
wooden_cube_0.348_wood_smooth,25.54,49.18,39.2,51.07,37.44,37.44,49.18,65.95,64.86,76.85
wooden_cube_0.570_green_rub,7.16,22.93,16.47,25.35,16.98,16.98,26.29,36.91,37.22,48.29
wooden_cube_0.570_wood_rough,30.04,45.4,52.49,51.64,51.74,51.74,52.06,66.59,74.26,78.26
wooden_cube_0.570_wood_smooth,25.71,52.98,48.15,54.49,49.1,49.1,55.02,60.39,64.86,73.87
