domain,pinn_pcri-L1_p10c10.0 [Drop0.4_Epo1000],pinn_pcri-L1_p10c10.0 [FS10_Drop0.4_Epo1000],pinn_annstartepo300_pcri-L1_p10c10.0_p9-2c5.0 [FS10_Drop0.4_Epo1000]
blue_cylinder_0.175_green_rub,25.06,20.66,22.08
blue_cylinder_0.175_wood_rough,27.64,20.53,20.77
blue_cylinder_0.175_wood_smooth,4.4,47.01,48.5
blue_cylinder_0.376_green_rub,23.46,11.47,15.46
blue_cylinder_0.376_wood_rough,25.7,17.5,18.7
blue_cylinder_0.376_wood_smooth,6.37,28.44,30.33
colored_cubes_0.167_green_rub,4.3,22.33,26.55
colored_cubes_0.397_green_rub,5.0,22.08,20.48
colored_cubes_0.989_green_rub,3.71,28.13,28.77
colored_cubes_0.989_wood_rough,49.86,73.21,72.72
colored_cubes_0.989_wood_smooth,63.38,83.48,81.97
nolid_cube_0.390_green_rub,11.99,30.86,30.67
nolid_cube_0.390_wood_rough,15.77,28.58,29.51
nolid_cube_0.390_wood_smooth,16.82,15.68,16.75
nolid_cube_0.498_green_rub,39.44,17.74,16.61
nolid_cube_0.498_wood_rough,14.5,31.04,31.22
nolid_cube_0.498_wood_smooth,14.94,12.04,16.61
nolid_cube_0.598_green_rub,40.61,19.8,21.83
nolid_cube_0.598_wood_rough,13.08,31.81,32.62
nolid_cube_0.598_wood_smooth,17.34,10.86,11.67
nolid_cube_0.694_green_rub,39.47,15.48,16.81
nolid_cube_0.694_wood_rough,13.29,33.78,32.7
nolid_cube_0.694_wood_smooth,16.98,12.02,10.45
nolid_cube_0.798_green_rub,37.07,10.22,12.94
nolid_cube_0.798_wood_rough,13.15,30.49,28.96
nolid_cube_0.798_wood_smooth,16.15,7.13,6.52
nolid_cube_0.915_green_rub,38.55,9.36,12.56
nolid_cube_0.915_wood_rough,13.45,41.99,42.39
nolid_cube_0.915_wood_smooth,16.02,6.88,5.92
nolid_cube_1.123_green_rub,36.21,3.36,7.04
nolid_cube_1.123_wood_rough,14.9,40.69,41.25
nolid_cube_1.123_wood_smooth,13.91,18.43,20.3
nolid_cube_1.240_green_rub,34.58,5.46,8.07
nolid_cube_1.240_wood_smooth,14.31,22.8,25.6
nolid_cube_1.456_green_rub,35.87,4.15,7.46
nolid_cube_1.656_green_rub,32.02,4.91,7.77
nolid_cube_1.856_green_rub,27.3,4.33,8.25
wooden_cube_0.348_green_rub,7.47,14.46,16.15
wooden_cube_0.348_wood_rough,55.91,79.84,84.44
wooden_cube_0.348_wood_smooth,45.94,68.1,69.39
wooden_cube_0.570_green_rub,6.32,21.91,23.33
wooden_cube_0.570_wood_rough,56.54,71.23,75.15
wooden_cube_0.570_wood_smooth,46.16,71.64,72.61
