domain,pinn_annstartepo300_pcri-L1_p10c10.0_p9-2c5.0 [Drop0.4_Epo1000],pinn_pcri-L1_p10c10.0 [MS10_Drop0.4_Epo1000],pinn_pcri-L1_p5c10.0 [FS10_Drop0.4_Epo1000],data_tcri-log1p_mse_task10.0 [Drop0.4_Epo1000],pinn_annstartepo200_rampd700_pcri-L1_p5c10.0_p9-2c5.0 [FS10_Drop0.4_Epo1000],pinn_pcri-L1_p10c10.0 [FS10_Drop0.4_Epo1000],pinn_annstartepo300_pcri-L1_p10c10.0_p9-2c5.0 [FS10_Drop0.4_Epo1000],pinn_annstartepo300_rampd600_pcri-L1_p5c10.0_p2-2c5.0 [Drop0.4_Epo1000],pinn_annstartepo300_rampd600_pcri-L1_p5c10.0 [Drop0.4_Epo1000],pinn_pcri-L1_p5c10.0 [Drop0.4_Epo1000]
blue_cylinder_0.175_green_rub,0.43,7.03,13.37,11.16,7.52,8.9,6.85,5.94,5.95,5.95
blue_cylinder_0.175_wood_rough,0.43,4.34,8.62,7.91,5.27,10.58,9.44,9.35,9.85,9.85
blue_cylinder_0.175_wood_smooth,0.43,5.95,17.19,10.78,15.0,14.38,12.18,16.48,16.18,16.18
blue_cylinder_0.376_green_rub,0.17,4.03,6.75,6.78,6.53,5.93,7.64,4.61,4.19,4.19
blue_cylinder_0.376_wood_rough,0.43,2.97,9.03,9.65,7.12,7.08,7.77,5.8,5.21,5.21
blue_cylinder_0.376_wood_smooth,0.47,10.8,18.48,14.71,14.34,16.05,17.33,15.78,17.47,17.47
colored_cubes_0.167_green_rub,0.49,11.77,21.11,7.31,15.83,14.02,17.12,12.46,12.86,12.86
colored_cubes_0.397_green_rub,1.23,11.92,12.66,10.71,14.97,11.11,12.65,9.25,11.24,11.24
colored_cubes_0.989_green_rub,1.5,4.4,0.01,6.03,7.29,9.16,12.28,9.99,15.17,15.17
colored_cubes_0.989_wood_rough,2.57,5.22,0.0,3.47,3.68,11.07,12.21,11.58,13.1,13.1
colored_cubes_0.989_wood_smooth,0.69,7.89,0.01,4.91,8.94,8.77,9.25,1.61,1.13,1.13
nolid_cube_0.390_green_rub,0.17,2.79,3.41,7.99,8.52,9.04,7.78,14.11,13.23,13.23
nolid_cube_0.390_wood_rough,0.66,4.7,0.02,7.64,12.79,8.63,10.82,16.94,17.86,17.86
nolid_cube_0.390_wood_smooth,0.5,8.22,15.21,16.15,5.82,11.17,11.29,6.62,7.29,7.29
nolid_cube_0.498_green_rub,0.2,5.61,4.02,7.42,10.89,11.48,8.84,10.9,12.18,12.18
nolid_cube_0.498_wood_rough,0.2,5.14,18.93,10.23,18.27,13.11,14.71,19.28,20.89,20.89
