Category,Object,Surface,GT (m / mu / Fric),PhyPush ($\mathcal{L}_{\text{data}}$) (m Est±Est_STD(Bias)),PhyPush ($\mathcal{L}_{\text{data}}$) (mu Est±Est_STD(Bias)),PhyPush ($\mathcal{L}_{\text{data}}$) (Fric F Est±Est_STD(Bias)),"PhyPush ($\mathcal{L}_{\text{force,un}}$) (m Est±Est_STD(Bias))","PhyPush ($\mathcal{L}_{\text{force,un}}$) (mu Est±Est_STD(Bias))","PhyPush ($\mathcal{L}_{\text{force,un}}$) (Fric F Est±Est_STD(Bias))","PhyPush ($\mathcal{L}_{\text{force,acc un}}$) (m Est±Est_STD(Bias))","PhyPush ($\mathcal{L}_{\text{force,acc un}}$) (mu Est±Est_STD(Bias))","PhyPush ($\mathcal{L}_{\text{force,acc un}}$) (Fric F Est±Est_STD(Bias))"
Seen,Plastic cube,Rubber,0.390 / 0.4334 / 1.66,0.376±0.017(-0.014),0.436±0.048(+0.002),1.735±0.089(+0.077),0.478±0.037(+0.088),0.418±0.055(-0.015),1.742±0.341(+0.084),0.492±0.050(+0.102),0.459±0.051(+0.026),2.014±0.225(+0.356)
Seen,Plastic cube,Rubber,0.498 / 0.4334 / 2.12,0.366±0.009(-0.132),0.484±0.020(+0.050),1.881±0.078(-0.236),0.546±0.052(+0.048),0.408±0.025(-0.025),2.277±0.422(+0.159),0.579±0.139(+0.081),0.430±0.023(-0.003),1.857±0.371(-0.261)
Seen,Plastic cube,Rubber,0.598 / 0.4334 / 2.54,0.411±0.072(-0.187),0.492±0.009(+0.059),2.093±0.277(-0.450),0.464±0.068(-0.134),0.407±0.045(-0.027),1.800±0.153(-0.742),0.566±0.091(-0.032),0.392±0.015(-0.041),2.234±0.298(-0.308)
Seen,Plastic cube,Rubber,0.694 / 0.4334 / 2.95,0.429±0.076(-0.265),0.486±0.048(+0.053),2.243±0.395(-0.707),0.579±0.057(-0.115),0.424±0.060(-0.010),2.460±0.846(-0.491),0.672±0.050(-0.022),0.416±0.038(-0.017),2.317±0.474(-0.633)
Seen,Plastic cube,Rubber,0.798 / 0.4334 / 3.39,0.559±0.063(-0.239),0.420±0.025(-0.014),2.577±0.336(-0.816),0.733±0.064(-0.065),0.399±0.069(-0.035),2.787±0.685(-0.606),0.781±0.097(-0.017),0.408±0.058(-0.026),3.239±0.537(-0.154)
Seen,Plastic cube,Rubber,0.915 / 0.4334 / 3.89,0.599±0.061(-0.316),0.422±0.008(-0.012),2.850±0.456(-1.040),0.835±0.113(-0.080),0.379±0.087(-0.055),3.636±1.448(-0.255),0.895±0.057(-0.020),0.417±0.070(-0.017),3.470±0.831(-0.420)
Seen,Plastic cube,Rubber,1.123 / 0.4334 / 4.77,0.630±0.033(-0.493),0.430±0.022(-0.004),2.903±0.188(-1.872),1.161±0.093(+0.038),0.422±0.038(-0.011),5.024±0.433(+0.249),1.129±0.089(+0.006),0.458±0.012(+0.025),5.132±0.457(+0.357)
Seen,Plastic cube,Rubber,1.240 / 0.4334 / 5.27,0.723±0.069(-0.517),0.467±0.012(+0.034),3.326±0.233(-1.946),1.172±0.195(-0.068),0.450±0.017(+0.017),5.149±1.001(-0.123),1.208±0.098(-0.032),0.447±0.033(+0.014),5.380±0.908(+0.107)
Seen,Plastic cube,Rubber,1.456 / 0.4334 / 6.19,0.710±0.057(-0.746),0.461±0.011(+0.027),3.301±0.244(-2.890),1.219±0.112(-0.237),0.459±0.031(+0.025),5.712±0.476(-0.478),1.248±0.043(-0.208),0.469±0.010(+0.036),5.658±0.325(-0.533)
Seen,Plastic cube,Rubber,1.656 / 0.4334 / 7.04,0.755±0.043(-0.901),0.446±0.011(+0.012),3.393±0.185(-3.648),1.248±0.100(-0.408),0.467±0.022(+0.034),5.785±0.594(-1.256),1.264±0.055(-0.392),0.469±0.003(+0.036),5.696±0.366(-1.344)
Seen,Plastic cube,Rubber,1.856 / 0.4334 / 7.89,0.879±0.078(-0.977),0.445±0.010(+0.012),3.867±0.218(-4.024),1.388±0.060(-0.468),0.462±0.042(+0.029),6.070±0.336(-1.821),1.420±0.044(-0.436),0.450±0.018(+0.017),6.007±0.091(-1.884)
Seen,Plastic cube,Wood rough,0.390 / 0.2550 / 0.98,0.377±0.007(-0.013),0.430±0.025(+0.175),1.672±0.048(+0.696),0.427±0.042(+0.037),0.325±0.064(+0.070),1.410±0.367(+0.434),0.478±0.059(+0.088),0.344±0.030(+0.089),1.835±0.187(+0.860)
Seen,Plastic cube,Wood rough,0.498 / 0.2550 / 1.25,0.383±0.016(-0.115),0.497±0.019(+0.242),1.657±0.219(+0.411),0.508±0.091(+0.010),0.257±0.031(+0.002),1.232±0.196(-0.013),0.496±0.121(-0.002),0.287±0.031(+0.032),1.382±0.400(+0.136)
Seen,Plastic cube,Wood rough,0.598 / 0.2550 / 1.50,0.394±0.025(-0.204),0.454±0.036(+0.199),1.701±0.017(+0.205),0.584±0.066(-0.014),0.337±0.062(+0.082),1.577±0.226(+0.081),0.639±0.057(+0.041),0.331±0.037(+0.076),1.917±0.192(+0.421)
Seen,Plastic cube,Wood rough,0.694 / 0.2550 / 1.74,0.489±0.042(-0.205),0.444±0.030(+0.189),1.857±0.072(+0.121),0.685±0.086(-0.009),0.285±0.067(+0.030),1.612±0.536(-0.124),0.720±0.043(+0.026),0.323±0.069(+0.068),2.073±0.489(+0.337)
Seen,Plastic cube,Wood rough,0.798 / 0.2550 / 2.00,0.470±0.044(-0.328),0.422±0.026(+0.167),1.964±0.090(-0.032),0.687±0.089(-0.111),0.259±0.040(+0.004),1.690±0.529(-0.306),0.811±0.126(+0.013),0.289±0.048(+0.034),1.756±0.641(-0.240)
Seen,Plastic cube,Wood rough,0.915 / 0.2550 / 2.29,0.484±0.018(-0.431),0.373±0.006(+0.118),1.913±0.079(-0.376),0.944±0.080(+0.029),0.319±0.084(+0.064),2.110±0.792(-0.179),0.914±0.045(-0.001),0.355±0.071(+0.101),2.610±0.669(+0.321)
Seen,Plastic cube,Wood rough,1.123 / 0.2550 / 2.81,0.645±0.051(-0.477),0.412±0.025(+0.157),2.742±0.342(-0.067),1.068±0.056(-0.055),0.377±0.077(+0.122),3.347±1.369(+0.538),1.101±0.048(-0.022),0.395±0.063(+0.140),3.439±1.294(+0.630)
Seen,Plastic cube,Wood rough,1.240 / 0.2550 / 3.10,0.648±0.050(-0.592),0.407±0.025(+0.152),3.023±0.273(-0.079),1.060±0.116(-0.180),0.274±0.054(+0.019),2.700±0.621(-0.403),1.143±0.074(-0.097),0.328±0.058(+0.073),3.067±0.641(-0.035)
Seen,Plastic cube,Wood rough,1.456 / 0.2550 / 3.64,0.735±0.043(-0.721),0.462±0.006(+0.207),3.396±0.196(-0.247),1.058±0.157(-0.398),0.248±0.025(-0.007),2.345±0.450(-1.297),1.160±0.086(-0.296),0.270±0.033(+0.015),3.337±0.354(-0.306)
Seen,Plastic cube,Wood rough,1.656 / 0.2550 / 4.14,0.698±0.025(-0.958),0.477±0.003(+0.222),3.303±0.116(-0.839),1.284±0.017(-0.372),0.393±0.072(+0.138),4.601±0.710(+0.458),1.291±0.015(-0.365),0.425±0.054(+0.170),4.212±0.472(+0.069)
Seen,Plastic cube,Wood rough,1.856 / 0.2550 / 4.64,0.723±0.088(-1.133),0.460±0.008(+0.205),3.327±0.324(-1.316),1.320±0.048(-0.536),0.362±0.082(+0.107),5.418±0.488(+0.776),1.311±0.051(-0.545),0.406±0.066(+0.151),5.120±0.606(+0.477)
Seen,Plastic cube,Wood smooth,0.390 / 0.3421 / 1.31,0.374±0.020(-0.015),0.465±0.057(+0.123),1.609±0.157(+0.300),0.428±0.059(+0.038),0.308±0.035(-0.034),1.419±0.199(+0.110),0.468±0.031(+0.078),0.353±0.027(+0.011),1.633±0.439(+0.324)
Seen,Plastic cube,Wood smooth,0.498 / 0.3421 / 1.67,0.426±0.066(-0.071),0.486±0.047(+0.144),1.684±0.056(+0.013),0.456±0.092(-0.042),0.360±0.043(+0.018),1.385±0.439(-0.286),0.482±0.073(-0.016),0.369±0.054(+0.027),1.728±0.468(+0.056)
Seen,Plastic cube,Wood smooth,0.598 / 0.3421 / 2.01,0.365±0.014(-0.233),0.475±0.029(+0.133),1.853±0.066(-0.154),0.545±0.050(-0.053),0.337±0.069(-0.006),1.923±0.260(-0.084),0.641±0.099(+0.043),0.313±0.029(-0.029),1.920±0.070(-0.087)
Seen,Plastic cube,Wood smooth,0.694 / 0.3421 / 2.33,0.376±0.009(-0.318),0.495±0.030(+0.152),1.903±0.070(-0.426),0.662±0.113(-0.032),0.331±0.067(-0.011),2.132±0.631(-0.197),0.606±0.142(-0.088),0.344±0.068(+0.002),1.963±0.242(-0.366)
Seen,Plastic cube,Wood smooth,0.798 / 0.3421 / 2.68,0.466±0.019(-0.332),0.371±0.014(+0.029),1.883±0.120(-0.795),0.873±0.117(+0.075),0.364±0.035(+0.022),2.553±0.740(-0.125),0.759±0.076(-0.039),0.371±0.038(+0.029),2.855±0.468(+0.177)
Seen,Plastic cube,Wood smooth,0.915 / 0.3421 / 3.07,0.572±0.112(-0.344),0.396±0.024(+0.054),2.549±0.613(-0.522),0.814±0.141(-0.101),0.315±0.067(-0.027),2.280±0.655(-0.791),0.830±0.040(-0.085),0.318±0.044(-0.024),2.902±0.639(-0.169)
Seen,Plastic cube,Wood smooth,1.123 / 0.3421 / 3.77,0.617±0.012(-0.506),0.425±0.031(+0.083),2.876±0.054(-0.893),1.113±0.042(-0.010),0.313±0.076(-0.029),4.414±0.827(+0.645),1.122±0.038(-0.001),0.368±0.066(+0.026),4.282±0.708(+0.513)
Seen,Plastic cube,Wood smooth,1.240 / 0.3421 / 4.16,0.637±0.104(-0.603),0.426±0.025(+0.084),3.016±0.399(-1.146),1.139±0.057(-0.101),0.344±0.026(+0.002),4.165±0.521(+0.003),1.154±0.049(-0.086),0.360±0.043(+0.018),4.115±0.503(-0.046)
Seen,Plastic cube,Wood smooth,1.456 / 0.3421 / 4.89,0.602±0.047(-0.854),0.452±0.018(+0.110),2.838±0.206(-2.049),1.063±0.108(-0.393),0.332±0.072(-0.010),4.906±0.674(+0.020),1.131±0.079(-0.325),0.375±0.056(+0.033),5.048±0.583(+0.162)
Seen,Plastic cube,Wood smooth,1.656 / 0.3421 / 5.56,0.658±0.073(-0.998),0.457±0.009(+0.115),3.026±0.297(-2.532),1.264±0.084(-0.392),0.367±0.041(+0.025),5.507±0.154(-0.050),1.298±0.075(-0.358),0.405±0.044(+0.063),5.577±0.140(+0.020)
Seen,Plastic cube,Wood smooth,1.856 / 0.3421 / 6.23,0.730±0.044(-1.126),0.467±0.010(+0.125),3.410±0.178(-2.818),1.184±0.100(-0.672),0.327±0.060(-0.015),4.790±0.906(-1.439),1.235±0.057(-0.621),0.336±0.038(-0.006),5.092±0.639(-1.137)
Unseen,Plastic container,Rubber,0.167 / 0.2987 / 0.49,0.247±0.033(+0.080),0.490±0.035(+0.192),1.454±0.182(+0.964),0.227±0.011(+0.060),0.394±0.078(+0.095),1.015±0.140(+0.526),0.271±0.026(+0.104),0.416±0.059(+0.117),1.216±0.231(+0.727)
Unseen,Plastic container,Rubber,0.397 / 0.2987 / 1.16,0.387±0.018(-0.010),0.434±0.038(+0.135),1.721±0.090(+0.558),0.419±0.121(+0.022),0.315±0.041(+0.016),1.519±0.401(+0.356),0.501±0.128(+0.104),0.365±0.033(+0.066),1.996±0.433(+0.833)
Unseen,Plastic container,Rubber,0.989 / 0.2987 / 2.90,0.777±0.078(-0.212),0.453±0.011(+0.154),3.176±0.104(+0.278),1.130±0.194(+0.141),0.376±0.087(+0.077),3.966±1.526(+1.068),1.068±0.192(+0.079),0.412±0.075(+0.113),4.373±1.226(+1.475)
Unseen,Plastic container,Wood rough,0.989 / 0.1799 / 1.75,0.609±0.043(-0.380),0.421±0.032(+0.241),1.988±0.286(+0.242),1.006±0.084(+0.017),0.292±0.069(+0.112),2.225±0.774(+0.479),0.961±0.042(-0.028),0.345±0.064(+0.165),2.996±0.556(+1.250)
Unseen,Plastic container,Wood smooth,0.989 / 0.1580 / 1.53,0.665±0.026(-0.324),0.443±0.038(+0.285),2.422±0.226(+0.889),1.115±0.131(+0.126),0.463±0.008(+0.305),4.638±1.179(+3.105),1.133±0.149(+0.144),0.465±0.017(+0.307),4.566±1.266(+3.033)
Unseen,Tin Can,Rubber,0.175 / 0.3654 / 0.63,0.248±0.026(+0.073),0.544±0.035(+0.179),1.567±0.217(+0.940),0.243±0.041(+0.068),0.331±0.032(-0.034),0.821±0.069(+0.194),0.258±0.054(+0.083),0.346±0.056(-0.020),0.874±0.031(+0.247)
Unseen,Tin Can,Rubber,0.376 / 0.3654 / 1.35,0.365±0.005(-0.011),0.475±0.016(+0.109),1.710±0.051(+0.362),0.387±0.032(+0.011),0.337±0.036(-0.028),1.279±0.101(-0.069),0.376±0.018(-0.000),0.318±0.004(-0.047),1.147±0.095(-0.201)
Unseen,Tin Can,Wood rough,0.175 / 0.3747 / 0.64,0.221±0.012(+0.046),0.547±0.079(+0.172),1.417±0.222(+0.774),0.207±0.005(+0.032),0.389±0.015(+0.014),0.810±0.043(+0.167),0.212±0.008(+0.037),0.425±0.030(+0.051),0.931±0.108(+0.287)
Unseen,Tin Can,Wood rough,0.376 / 0.3747 / 1.38,0.366±0.004(-0.010),0.459±0.031(+0.085),1.597±0.184(+0.215),0.386±0.028(+0.010),0.341±0.026(-0.034),1.475±0.194(+0.093),0.395±0.028(+0.019),0.357±0.019(-0.018),1.362±0.197(-0.020)
Unseen,Tin Can,Wood smooth,0.175 / 0.2724 / 0.47,0.244±0.018(+0.069),0.543±0.060(+0.270),1.504±0.056(+1.037),0.238±0.033(+0.063),0.388±0.019(+0.116),0.978±0.235(+0.510),0.290±0.083(+0.115),0.416±0.028(+0.143),1.228±0.385(+0.760)
Unseen,Tin Can,Wood smooth,0.376 / 0.2724 / 1.00,0.361±0.010(-0.015),0.446±0.060(+0.174),1.601±0.172(+0.596),0.349±0.028(-0.027),0.299±0.041(+0.027),0.963±0.126(-0.042),0.390±0.053(+0.014),0.334±0.055(+0.061),0.927±0.048(-0.077)
Unseen,Wooden box,Rubber,0.348 / 0.4626 / 1.58,0.347±0.037(-0.001),0.482±0.023(+0.020),1.759±0.097(+0.180),0.322±0.101(-0.026),0.434±0.043(-0.029),1.506±0.486(-0.073),0.377±0.139(+0.029),0.445±0.040(-0.017),1.407±0.489(-0.172)
Unseen,Wooden box,Wood rough,0.348 / 0.1826 / 0.62,0.363±0.018(+0.015),0.414±0.022(+0.232),1.407±0.199(+0.784),0.349±0.092(+0.002),0.333±0.066(+0.151),1.354±0.381(+0.730),0.369±0.081(+0.021),0.342±0.038(+0.160),1.616±0.440(+0.993)
Unseen,Wooden box,Wood smooth,0.348 / 0.2803 / 0.96,0.353±0.005(+0.005),0.464±0.021(+0.183),1.581±0.193(+0.624),0.362±0.024(+0.014),0.397±0.048(+0.117),1.193±0.305(+0.236),0.363±0.061(+0.015),0.392±0.032(+0.112),1.416±0.386(+0.459)
