Model,Force Input Required?,Property,Seen,Unseen
PhyPush (Data loss),No,$m$,8.9±2.4(5.3),23.1±2.3(19.4)
,,$\mu$,20.5±6.6(22.6),42.2±7.0(42.8)
PhyPush (PG loss 1),No,$m$,15.1±2.0(11.0),28.3±2.4(24.5)
,,$\mu$,22.6±10.1(16.5),31.6±12.5(25.7)
PhyPush (PG loss 2),No,$m$,14.2±3.7(6.9),23.9±3.9(17.9)
,,$\mu$,17.0±4.2(15.9),39.2±6.1(35.1)
PhyPush (PG loss 3),No,$m$,14.4±2.3(10.4),27.5±2.5(23.8)
,,$\mu$,21.6±9.8(18.5),28.8±11.1(21.7)
PhyPush (PG loss 4),No,$m$,12.6±6.2(2.1),26.9±6.9(14.2)
,,$\mu$,17.0±9.6(15.8),31.4±10.8(30.6)
