Category,Object,Surface,GT (m / mu / Fric),PhyPush ($\mathcal{L}_{\text{data}}$) (m NRMSE±STD),PhyPush ($\mathcal{L}_{\text{data}}$) (mu NRMSE±STD),PhyPush ($\mathcal{L}_{\text{data}}$) (Fric F NRMSE±STD),"PhyPush ($\mathcal{L}_{\text{force,un}}$) (m NRMSE±STD)","PhyPush ($\mathcal{L}_{\text{force,un}}$) (mu NRMSE±STD)","PhyPush ($\mathcal{L}_{\text{force,un}}$) (Fric F NRMSE±STD)","PhyPush ($\mathcal{L}_{\text{force,acc un}}$) (m NRMSE±STD)","PhyPush ($\mathcal{L}_{\text{force,acc un}}$) (mu NRMSE±STD)","PhyPush ($\mathcal{L}_{\text{force,acc un}}$) (Fric F NRMSE±STD)"
Seen,Plastic cube,Rubber,0.390 / 0.4334 / 1.66,0.029±0.017,0.266±0.127,0.030±0.019,0.161±0.102,0.349±0.191,0.132±0.096,0.146±0.086,0.267±0.109,0.119±0.081
Seen,Plastic cube,Rubber,0.498 / 0.4334 / 2.12,0.111±0.048,0.301±0.141,0.087±0.066,0.095±0.056,0.314±0.209,0.088±0.039,0.120±0.032,0.244±0.161,0.085±0.041
Seen,Plastic cube,Rubber,0.598 / 0.4334 / 2.54,0.126±0.034,0.242±0.069,0.072±0.024,0.121±0.048,0.266±0.136,0.124±0.042,0.087±0.041,0.281±0.156,0.092±0.053
Seen,Plastic cube,Rubber,0.694 / 0.4334 / 2.95,0.172±0.038,0.265±0.073,0.110±0.042,0.117±0.050,0.411±0.212,0.149±0.048,0.099±0.058,0.347±0.190,0.126±0.056
Seen,Plastic cube,Rubber,0.798 / 0.4334 / 3.39,0.181±0.049,0.172±0.103,0.140±0.051,0.104±0.058,0.463±0.212,0.175±0.074,0.100±0.052,0.374±0.197,0.141±0.072
Seen,Plastic cube,Rubber,0.915 / 0.4334 / 3.89,0.224±0.051,0.136±0.085,0.175±0.064,0.143±0.071,0.481±0.245,0.220±0.091,0.104±0.063,0.382±0.177,0.174±0.079
Seen,Plastic cube,Rubber,1.123 / 0.4334 / 4.77,0.308±0.037,0.129±0.066,0.240±0.049,0.169±0.101,0.393±0.240,0.222±0.149,0.128±0.078,0.291±0.186,0.180±0.108
Seen,Plastic cube,Rubber,1.240 / 0.4334 / 5.27,0.343±0.062,0.147±0.055,0.253±0.054,0.247±0.147,0.362±0.235,0.277±0.156,0.196±0.124,0.276±0.164,0.223±0.122
Seen,Plastic cube,Rubber,1.456 / 0.4334 / 6.19,0.465±0.052,0.115±0.041,0.350±0.048,0.220±0.090,0.223±0.119,0.191±0.113,0.212±0.101,0.208±0.105,0.147±0.079
Seen,Plastic cube,Rubber,1.656 / 0.4334 / 7.04,0.548±0.053,0.090±0.045,0.423±0.046,0.359±0.138,0.360±0.222,0.355±0.195,0.328±0.119,0.286±0.165,0.313±0.159
Seen,Plastic cube,Rubber,1.856 / 0.4334 / 7.89,0.593±0.064,0.086±0.041,0.457±0.041,0.358±0.106,0.225±0.102,0.305±0.124,0.316±0.083,0.147±0.077,0.261±0.070
