Model,Force Input Required?,Property,$\mathcal{D}_{test}$,$\mathcal{D}_{OOD}^m$,$\mathcal{D}_{OOD}^{\mu}$,"$\mathcal{D}_{OOD}^{m, \mu}$",OOD Avg
Baseline~\cite{mavrakis_estimating_2020},Yes,$m$,N/A±0.519(+0.000),N/A±0.008(-0.533),N/A±0.539(+0.102),N/A±0.010(-0.543),N/A±0.186(-0.325)
,,$\mu$,N/A±0.099(-0.000),N/A±0.068(+0.002),N/A±0.024(-0.070),N/A±0.043(-0.165),N/A±0.045(-0.078)
PhyPush ($\mathcal{L}_{\text{data}}$),No,$m$,N/A±0.446(-0.037),N/A±0.091(-0.577),N/A±0.506(+0.052),N/A±0.042(-0.536),N/A±0.213(-0.354)
,,$\mu$,N/A±0.098(-0.004),N/A±0.077(+0.024),N/A±0.050(-0.117),N/A±0.022(-0.137),N/A±0.050(-0.077)
PhyPush ($\mathcal{L}_{\text{force}}$ M10),No,$m$,N/A±0.479(+0.000),N/A±0.042(-0.543),N/A±0.521(+0.075),N/A±0.045(-0.535),N/A±0.203(-0.335)
,,$\mu$,N/A±0.092(+0.005),N/A±0.088(+0.077),N/A±0.044(-0.088),N/A±0.020(-0.043),N/A±0.050(-0.018)
PhyPush ($\mathcal{L}_{\text{acc}}$ M10),No,$m$,N/A±0.453(-0.125),N/A±0.089(-0.716),N/A±0.498(-0.028),N/A±0.043(-0.747),N/A±0.210(-0.497)
,,$\mu$,N/A±0.105(+0.015),N/A±0.079(+0.119),N/A±0.059(-0.087),N/A±0.018(-0.057),N/A±0.052(-0.008)
"PhyPush ($\mathcal{L}_{\text{force,un}}$ M10)",No,$m$,N/A±0.472(-0.005),N/A±0.045(-0.549),N/A±0.522(+0.081),N/A±0.038(-0.535),N/A±0.202(-0.335)
,,$\mu$,N/A±0.093(+0.008),N/A±0.087(+0.061),N/A±0.042(-0.079),N/A±0.013(-0.049),N/A±0.047(-0.022)
"PhyPush ($\mathcal{L}_{\text{acc,un}}$ M10)",No,$m$,N/A±0.457(-0.124),N/A±0.088(-0.691),N/A±0.503(-0.019),N/A±0.029(-0.758),N/A±0.207(-0.489)
,,$\mu$,N/A±0.104(+0.015),N/A±0.084(+0.104),N/A±0.053(-0.090),N/A±0.011(-0.055),N/A±0.049(-0.013)
"PhyPush ($\mathcal{L}_{\text{force,acc un}}$ M10)",No,$m$,N/A±0.472(-0.004),N/A±0.055(-0.549),N/A±0.516(+0.077),N/A±0.053(-0.515),N/A±0.208(-0.329)
,,$\mu$,N/A±0.094(+0.010),N/A±0.085(+0.059),N/A±0.042(-0.078),N/A±0.016(-0.066),N/A±0.047(-0.028)
