Model,Force Input Required?,Property,$\mathcal{D}_{test}$,$\mathcal{D}_{OOD}^m$,$\mathcal{D}_{OOD}^{\mu}$,"$\mathcal{D}_{OOD}^{m, \mu}$",Overall
Baseline~\cite{mavrakis_estimating_2020},Yes,$m$,0.004±0.003,0.217±0.104,0.045±0.026,0.220±0.104,0.161±0.078
,,$\mu$,0.013±0.011,0.094±0.058,0.149±0.076,0.318±0.104,0.187±0.079
PhyPush ($\mathcal{L}_{\text{data}}$),No,$m$,0.044±0.030,0.223±0.085,0.038±0.023,0.212±0.091,0.158±0.066
,,$\mu$,0.093±0.070,0.128±0.080,0.242±0.113,0.258±0.065,0.209±0.086
PhyPush ($\mathcal{L}_{\text{force}}$),No,$m$,0.024±0.016,0.207±0.095,0.034±0.021,0.198±0.098,0.146±0.072
,,$\mu$,0.054±0.042,0.164±0.098,0.168±0.094,0.128±0.067,0.153±0.086
"PhyPush ($\mathcal{L}_{\text{force,un}}$)",No,$m$,0.023±0.016,0.209±0.097,0.034±0.021,0.203±0.097,0.149±0.072
,,$\mu$,0.051±0.039,0.170±0.107,0.158±0.090,0.153±0.071,0.160±0.089
"PhyPush ($\mathcal{L}_{\text{force,acc un}}$)",No,$m$,0.031±0.020,0.219±0.097,0.038±0.021,0.206±0.093,0.154±0.070
,,$\mu$,0.074±0.057,0.143±0.091,0.170±0.092,0.136±0.064,0.150±0.082
