Model,Force Input Required?,Property,$\mathcal{D}_{test}$,$\mathcal{D}_{OOD}^m$,$\mathcal{D}_{OOD}^{\mu}$,"$\mathcal{D}_{OOD}^{m, \mu}$"
PhyPush $\mathcal{L}_{\text{data}}$,No,$m$,9.5±4.4(-8.4),24.0±8.6(-18.6),10.2±4.6(-9.0),24.3±8.4(-19.1)
,,$\mu$,27.5±15.5(+19.7),25.9±13.9(+6.2),37.2±12.6(+18.4),38.9±7.8(+6.3)
PhyPush $\mathcal{L}_{\text{force}}$,No,$m$,7.9±4.0(-6.8),22.4±8.6(-17.0),8.0±3.7(-7.0),22.2±8.6(-16.8)
,,$\mu$,21.1±12.3(-7.7),32.1±13.7(-9.8),32.1±15.3(-8.0),39.2±6.2(-9.2)
PhyPush $\mathcal{L}_{\text{acc}}$,No,$m$,3.4±2.2(-0.4),25.0±9.2(-11.6),4.8±2.8(-1.0),24.9±9.2(-11.5)
,,$\mu$,13.0±8.0(-0.2),18.0±9.8(-9.3),32.1±13.1(-0.5),35.4±7.8(-9.7)
"PhyPush $\mathcal{L}_{\text{force, un}}$",No,$m$,7.6±4.0(-6.4),22.2±8.6(-16.4),7.7±3.7(-6.6),22.0±8.6(-16.3)
,,$\mu$,20.7±12.0(-4.1),31.1±13.5(-10.2),33.2±15.9(-5.5),39.0±6.1(-9.7)
"PhyPush $\mathcal{L}_{\text{acc, un}}$",No,$m$,7.9±4.5(N/A),17.8±8.6(N/A),8.6±4.8(N/A),17.9±8.7(N/A)
,,$\mu$,20.3±11.0(N/A),16.9±9.4(N/A),35.9±17.6(N/A),35.0±11.3(N/A)
